r*,g_CA_avg,g_CA_err
0.05,0.0,0.0
0.15000000000000002,0.0,0.0
0.25,0.0,0.0
0.35000000000000003,0.0,0.0
0.45,0.0,0.0
0.55,0.0,0.0
0.6500000000000001,0.0,0.0
0.75,0.0,0.0
0.8500000000000001,0.0002261567611825813,7.67461061132783e-06
0.95,0.5403546461269233,0.001743657286377549
1.05,3.184663108021091,0.008465707781296043
1.1500000000000001,3.384052885294247,0.007227130645014769
1.25,2.405204560403326,0.004362613589512711
1.35,1.7414391905229725,0.0027505009350393527
1.4500000000000002,1.3879396041969134,0.0020637587071965164
1.55,1.215023573130533,0.001934366214613317
1.6500000000000001,1.1507286981142448,0.0020450711853627042
1.75,1.165442457293622,0.002338727731312795
1.85,1.236613109957759,0.0028009538452661636
1.9500000000000002,1.3406302352913453,0.0034299257540061838
2.05,1.437465795070111,0.003883306009016425
2.1500000000000004,1.473517555263154,0.00406469400489438
2.25,1.4398478832819808,0.0038275395314917035
2.3500000000000005,1.3762367065564702,0.003457040921798694
2.45,1.3171999777436227,0.0032946764675409017
2.55,1.281147303719052,0.0031173306170608124
2.6500000000000004,1.2688489417390791,0.003144662117052949
2.75,1.2744375152846872,0.0032548755711474635
2.8500000000000005,1.2905758411413133,0.0034528310179310876
2.95,1.3083944976971735,0.0036841992688628053
3.05,1.3201941052469883,0.00380881760349082
3.1500000000000004,1.3207870297685091,0.0037251752542432856
3.25,1.311459149622242,0.0037163216219657375
3.3500000000000005,1.296262626138119,0.0037245121724449404
3.45,1.2805307293370238,0.003602197660729708
3.55,1.2685233097777047,0.00349362548275285
3.6500000000000004,1.2614724936846682,0.0035521037995747927
3.75,1.2583560000420877,0.003595046254818904
3.8500000000000005,1.2579268596806323,0.0036047706891639193
3.95,1.2579450235985943,0.0036049158469014415
4.050000000000001,1.2563654616793025,0.0036872888526739865
4.15,1.252914428926704,0.0037561304741680107
4.25,1.247275951297574,0.0037118680730259964
4.35,1.2405281968365192,0.003663600176777343
4.45,1.2335923257713146,0.0036906965141206417
4.550000000000001,1.227860380413301,0.0036343652030424297
4.65,1.2226688774399341,0.003708376667955753
4.75,1.2184812234737585,0.0036379452935346116
4.8500000000000005,1.2148645545378591,0.003656735065806659
4.95,1.2115782600032983,0.003671030103782493
5.050000000000001,1.20773954106053,0.0037206300713482484
5.15,1.2035297956872728,0.0036887712852354537
5.25,1.1987128438652577,0.003687333213489651
5.3500000000000005,1.1938428872935458,0.003694623977164555
5.45,1.1889574831677714,0.0036722724033326857
5.550000000000001,1.1841966651507216,0.003662547148974385
5.65,1.179638302696047,0.0036522379759836494
5.75,1.175437295781057,0.0036817427563980527
5.8500000000000005,1.1712605896181496,0.003685136843747107
5.95,1.1672438139286485,0.0036490260118372327
6.050000000000001,1.1631755695112818,0.0036516351135398384
6.15,1.158795027144849,0.00361172636036733
6.25,1.15452218053569,0.003584357736922817
6.3500000000000005,1.1501193860696994,0.0035937683916577585
6.45,1.1457232067972583,0.003562932985752086
6.550000000000001,1.1415064055876996,0.0035792530222794154
6.65,1.1373301910378584,0.0035496313731594805
6.75,1.1333288768960748,0.0035484911189961393
6.8500000000000005,1.1291732227119107,0.00351518246773495
6.95,1.1251748723784885,0.0035092558642754322
7.050000000000001,1.1211767129044259,0.0034924433986913642
7.15,1.1170696513038318,0.003441944237957164
7.25,1.11318109436634,0.0034248984652240373
7.3500000000000005,1.1092279018371576,0.003397129995782316
7.45,1.1051608410455815,0.0033951576827470384
7.550000000000001,1.1013550844683562,0.0033663249351460005
7.65,1.0975543895052895,0.003322956164632811
7.75,1.093704088770947,0.0032787544359337414
7.8500000000000005,1.0899300917833086,0.003266964971564288
7.95,1.0862346387311603,0.0032257154856200135
8.05,1.0825359520273439,0.003186196695161792
8.15,1.0789254613499322,0.0031361802839114964
8.25,1.0751987443479718,0.0031224986890108033
8.350000000000001,1.071638519351276,0.0030786182228770076
8.45,1.0680684445433997,0.003048262879839197
8.55,1.0645982249592474,0.0030131787383085315
8.65,1.0612074406373553,0.0029940329227411827
8.75,1.0577772322555417,0.0029312114063846477
8.850000000000001,1.0543504499707073,0.0028952791119203885
8.95,1.0510937981977189,0.00283874592967957
9.05,1.0478024902606022,0.002786712004825511
9.15,1.0446429293845432,0.0027346453345866786
9.25,1.0415037693495137,0.0027066378482068438
9.350000000000001,1.0383029763924883,0.0026381722156870436
9.45,1.0352148062635451,0.0025985143673595713
9.55,1.0322220696196145,0.0025362844917237166
9.650000000000002,1.0291949210104514,0.0024910432420437827
9.75,1.0262617367045164,0.00242247729198282
9.850000000000001,1.023310216790502,0.0023817067623340456
9.95,1.0205500972632116,0.002304828389684577
