A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
0.4918780187139743,0.031167150013505913,0,0,0,0,5.430456026977711,0.4222916671646424,0.08274825793445503,5.10333
0.24582669093673548,0.06757270995623117,0,0,0,0,3.156828931516169,2.448430003243946,0.5847332153350749,4.18726
0.5776598795270502,0.18632042396262502,0,0,0,0,3.10908854429704,1.5225526035374966,0.417845174442617,3.64382
0.391870909679136,0.05190908756360221,0,0,0,0,2.395450899672717,0.3653262780558863,0.1541532636771691,2.36989
0.2768372505132895,0.04111590814506901,0,0,0,0,2.985209745011841,0.4883930149374598,0.25385043969014615,1.92394
0.35916176680931217,0.0375407700852982,0,0,0,0,1.9906457835385887,0.22805224418059417,0.13030216559473548,1.75018
0.3558971315484051,0.03241089032437073,0,0,0,0,1.6742574628562827,0.08689446181744882,0.05842862164044192,1.48719
0.3508336490690839,0.024531370244871883,0,0,0,0,1.5403534910050176,0.0676089995873414,0.05058698500351024,1.33649
0.37221653948867794,0.018495074027551656,0,0,0,0,1.3363329923262,0.031371902341088095,0.026894966257812607,1.16646
0.38924927011596705,0.013103830594377214,0,0,0,0,1.2402574819402594,0.01708275850935541,0.015945226080754393,1.07134
0.3031692224231742,0.008722133027805926,0,0,0,0,1.2763635971149119,0.02017702475687799,0.022167439115015206,0.91021
