A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
1.32127722642292,0.10494760799189029,0,0,0,0,3.728757269476264,0.43942696530494557,0.11955634782530325,3.67548
1.1108693210415377,0.0468280608548866,0,0,0,0,3.6508997424799903,0.1892630166318269,0.06276027278756716,3.01565
1.200687108023547,0.1487396302279641,0,0,0,0,3.4446494876821108,0.5416964837736022,0.20641403631173114,2.62432
1.2382562100029362,0.1023996902393009,0,0,0,0,1.9892477645182094,0.12342044798607918,0.07230763028805727,1.70688
1.2153825072393456,0.0722897894627651,0,0,0,0,1.6590905140119916,0.08672806231273572,0.06259423071735308,1.38556
1.298053656117697,0.04788766408788375,0,0,0,0,1.450414365377432,0.023358910354491176,0.018530728931411826,1.26055
1.3251085691489517,0.09273689786711907,0,0,0,0,1.2866739327628591,0.04051460355663176,0.03782099247272433,1.07122
1.6258045491608928,0.16347461708125183,0,0,0,0,1.0983832423321922,0.04530564115350456,0.04706199479941887,0.96268
1.8614828717946814,0.15939486290846688,0,0,0,0,0.9339267486213672,0.03011399193477297,0.035839750469833585,0.84024
1.7472446557288674,0.07292571769429307,0,0,0,0,0.8739488893265674,0.012967860686634441,0.016802970724881364,0.77176
2.1940921832516755,0.08498732086305855,0,0,0,0,0.7170191172610437,0.007126271907334149,0.010867029457483796,0.65577
