r_salt,Dsolv,Dsolv_err
1.000000000000000021e-02,9.104053719020614721e-02,6.973980364447701955e-05
1.499999999999999944e-02,9.099193998398778793e-02,4.703164238567624606e-05
2.000000000000000042e-02,9.106866306748234718e-02,3.897913133299931994e-05
5.000000000000000278e-02,9.111170925638922835e-02,3.469067232746108053e-05
8.000000000000000167e-02,9.113840036434622816e-02,5.391049702351110375e-05
1.000000000000000056e-01,9.116449132723533633e-02,7.425041308199474630e-05
1.499999999999999944e-01,9.130634062541301277e-02,5.805887126667019836e-05
2.000000000000000111e-01,9.126984448118007076e-02,2.887354492894955878e-05
2.999999999999999889e-01,9.150526491265968676e-02,6.665618338873355428e-05
4.000000000000000222e-01,9.159506284394121345e-02,2.511311602717293445e-05
8.000000000000000444e-01,9.184571770114663414e-02,6.816365767923025364e-05
