A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
4.338957452032056,0.4083310685675986,0,0,0,0,1.054539750233039,0.06378379604263353,0.03880619112501659,1.64365
3.753665287003554,0.23607214130644782,0,0,0,0,1.0568998249411266,0.04258588394144857,0.031579251591683274,1.34854
4.318683206884176,0.24375934268701147,0,0,0,0,0.9540159297119921,0.03307435816822301,0.028184369977181944,1.1735
3.5285193059181585,0.2268212869800043,0,0,0,0,1.0118867907673768,0.03812633287672353,0.04996112390806627,0.76312
1.9000394409866928,0.10682982312698754,0,0,0,0,2.55448486725063,0.219905425195104,0.35502974684388766,0.6194
2.372421025765905,0.09417795920579235,0,0,0,0,4.3244269966091755,0.3262321867578115,0.5790418650298393,0.5634
2.3335887648808145,0.05775301071507257,0,0,0,0,7.759579339892104,0.6678563084858161,1.3952915668772925,0.47865
2.081567752815629,0.036390326160222156,0,0,0,0,14.517098758888409,1.3694704970837048,3.184444825214986,0.43005
1.4900889736265641,0.028866729192349148,0,0,0,0,21.514990617559956,3.647122240589845,9.720475054876985,0.3752
1.0974311459152133,0.007204910188149494,0,0,0,0,116.6574954131598,51.119664162807666,148.3836874482821,0.34451
0.38572275859923355,0.00608256172801258,0,0,0,0,1262629.078835477,1197810.164657557,4095077.486008742,0.2925
