timestep,H(t)_mean,H(t)_err
2.000000000000000111e-01,8.637945999999999680e-01,7.183699580299819469e-03
4.000000000000000222e-01,7.976501999999999759e-01,7.330756368888544615e-03
5.999999999999999778e-01,7.350837999999999539e-01,8.265298871789195437e-03
8.000000000000000444e-01,6.979789999999999051e-01,8.312742459621847227e-03
1.000000000000000000e+00,6.396819999999999729e-01,1.666950426377461145e-02
1.199999999999999956e+00,6.037814000000001347e-01,1.706208532565700597e-02
1.399999999999999911e+00,5.941702000000000927e-01,1.436622118164689044e-02
1.600000000000000089e+00,5.536465999999999887e-01,1.054984909655109354e-02
1.800000000000000044e+00,5.412382000000000026e-01,1.650399700496821970e-02
2.000000000000000000e+00,5.246923999999999477e-01,1.986375543697617430e-02
2.200000000000000178e+00,4.808238000000000234e-01,2.755553992103948469e-02
2.399999999999999911e+00,4.452882000000000784e-01,2.383789019271629478e-02
2.600000000000000089e+00,4.252145999999999981e-01,2.461030992612647794e-02
2.799999999999999822e+00,4.220211999999999852e-01,2.193991832573675624e-02
3.000000000000000000e+00,4.064313999999999427e-01,2.488042716393751991e-02
3.200000000000000178e+00,3.727454000000000045e-01,1.929517873355932403e-02
3.399999999999999911e+00,3.470701999999999954e-01,1.747988301276641801e-02
3.600000000000000089e+00,3.359206000000000136e-01,9.358712329161526094e-03
3.799999999999999822e+00,3.371672000000000002e-01,9.287741993617176783e-03
4.000000000000000000e+00,3.190283999999999898e-01,1.472031201639421687e-02
4.200000000000000178e+00,2.961266000000000176e-01,2.115263835222452524e-02
4.400000000000000355e+00,2.793754000000000515e-01,1.493289374033044022e-02
4.599999999999999645e+00,2.760968000000000311e-01,1.005482683291960243e-02
4.799999999999999822e+00,2.683232000000000395e-01,6.905883168719267537e-03
5.000000000000000000e+00,2.630548000000000330e-01,7.248234139430098644e-03
5.200000000000000178e+00,2.614855999999999847e-01,1.490777038527224020e-02
5.400000000000000355e+00,2.607858000000000120e-01,1.439022756039667027e-02
5.599999999999999645e+00,2.598615999999999704e-01,6.299384054016708527e-03
5.799999999999999822e+00,2.462601999999999847e-01,1.135053550895286957e-02
6.000000000000000000e+00,2.264001999999999959e-01,2.047322529402731753e-02
6.200000000000000178e+00,2.219599999999999906e-01,1.695752655017823685e-02
6.400000000000000355e+00,2.223370000000000068e-01,1.283024526265963763e-02
6.599999999999999645e+00,2.237782000000000104e-01,1.252114861903651233e-02
6.799999999999999822e+00,2.065954000000000124e-01,1.527786777204201418e-02
7.000000000000000000e+00,2.061447999999999892e-01,1.246369277702238237e-02
7.200000000000000178e+00,1.905976000000000337e-01,1.231932094557163133e-02
7.400000000000000355e+00,1.789855999999999947e-01,1.110265101496035051e-02
7.599999999999999645e+00,1.707493999999999956e-01,1.032927896612343723e-02
7.799999999999999822e+00,1.687172000000000116e-01,1.267919259022434741e-02
8.000000000000000000e+00,1.723729999999999984e-01,1.461471354149646018e-02
8.199999999999999289e+00,1.623422000000000198e-01,1.798016513939735758e-02
8.400000000000000355e+00,1.673848000000000003e-01,1.709940059007917026e-02
8.599999999999999645e+00,1.688689999999999913e-01,1.662268842576314007e-02
8.800000000000000711e+00,1.608584000000000125e-01,1.680940164491288510e-02
9.000000000000000000e+00,1.592462000000000044e-01,1.478068813486029844e-02
9.199999999999999289e+00,1.625793999999999850e-01,1.402453054330162104e-02
9.400000000000000355e+00,1.518378000000000227e-01,1.601361708172141865e-02
9.599999999999999645e+00,1.534192000000000333e-01,1.598643860401683867e-02
9.800000000000000711e+00,1.527738000000000151e-01,2.514376967043724723e-02
1.000000000000000000e+01,1.400974000000000108e-01,2.190923872159870195e-02
1.019999999999999929e+01,1.317226000000000230e-01,2.000101632567705123e-02
1.040000000000000036e+01,1.283463999999999994e-01,1.674817774445924376e-02
1.059999999999999964e+01,1.443444000000000116e-01,1.348530910138881489e-02
1.080000000000000071e+01,1.404745999999999773e-01,1.688933720309947553e-02
1.100000000000000000e+01,1.273786000000000085e-01,1.204017477281787638e-02
1.119999999999999929e+01,1.160461999999999883e-01,1.481561158170664402e-02
1.140000000000000036e+01,1.179812000000000083e-01,1.766098608062414976e-02
1.159999999999999964e+01,1.223784000000000260e-01,1.880411715449571003e-02
1.180000000000000071e+01,1.207236000000000004e-01,2.348640011070236150e-02
1.200000000000000000e+01,1.225183999999999995e-01,1.511820540805025245e-02
1.219999999999999929e+01,1.128954000000000069e-01,1.301746066097378245e-02
1.240000000000000036e+01,1.147876000000000174e-01,9.139943772255930410e-03
1.259999999999999964e+01,1.150247999999999965e-01,1.360491936176029017e-02
1.280000000000000071e+01,1.071112000000000036e-01,1.312109843115278132e-02
1.300000000000000000e+01,1.148419999999999996e-01,1.446405931265493452e-02
1.319999999999999929e+01,9.503659999999999886e-02,6.882964133278626079e-03
1.340000000000000036e+01,9.526180000000000758e-02,5.205457918377594598e-03
1.359999999999999964e+01,8.181200000000000971e-02,1.347518496719061695e-02
1.380000000000000071e+01,8.402679999999999871e-02,1.096579114063367562e-02
1.400000000000000000e+01,9.397220000000000573e-02,1.199747841173302160e-02
1.419999999999999929e+01,8.925220000000000375e-02,1.109914292817242715e-02
1.440000000000000036e+01,8.254300000000000526e-02,1.182912589754627625e-02
1.459999999999999964e+01,8.240279999999999827e-02,7.733962240662931031e-03
1.480000000000000071e+01,8.063900000000000234e-02,1.194324081646183471e-02
1.500000000000000000e+01,8.582160000000001177e-02,1.347971163118855467e-02
1.519999999999999929e+01,9.391779999999999573e-02,1.351038647263652116e-02
1.540000000000000036e+01,8.160699999999999898e-02,1.361515013137938081e-02
1.559999999999999964e+01,7.837080000000000435e-02,1.579825259451183780e-02
1.580000000000000071e+01,8.003760000000000041e-02,1.825188925727963887e-02
1.600000000000000000e+01,6.388800000000000034e-02,1.713606506757020878e-02
1.619999999999999929e+01,7.174700000000000522e-02,1.673637494501124118e-02
1.639999999999999858e+01,7.146700000000000275e-02,1.885700001856074545e-02
1.660000000000000142e+01,7.132719999999999339e-02,1.567788784052239620e-02
1.680000000000000071e+01,7.327340000000000242e-02,1.431225028638054460e-02
1.700000000000000000e+01,7.994020000000000292e-02,1.460729311816532164e-02
1.719999999999999929e+01,7.017740000000001477e-02,1.524423688349141499e-02
1.739999999999999858e+01,7.152159999999999074e-02,1.153136563291616221e-02
1.760000000000000142e+01,7.147900000000000087e-02,1.260373758850921212e-02
1.780000000000000071e+01,6.509200000000001096e-02,1.305120559948390324e-02
1.800000000000000000e+01,5.875980000000000786e-02,1.292813978652767974e-02
1.819999999999999929e+01,5.020100000000000950e-02,1.132588309581199736e-02
1.839999999999999858e+01,5.186779999999999863e-02,1.020909160209663123e-02
1.860000000000000142e+01,5.528639999999999943e-02,1.338530356996060072e-02
1.880000000000000071e+01,6.000660000000000022e-02,1.121134219707881248e-02
1.900000000000000000e+01,5.528639999999999943e-02,1.520279964874891171e-02
1.919999999999999929e+01,5.861979999999999968e-02,1.572639313192952457e-02
1.939999999999999858e+01,5.861979999999999968e-02,1.572639313192952457e-02
1.960000000000000142e+01,5.496399999999999897e-02,1.090807475680286888e-02
1.980000000000000071e+01,5.172780000000000433e-02,1.101910858191351011e-02
2.000000000000000000e+01,5.367420000000000524e-02,1.650074962963804515e-02
2.019999999999999929e+01,5.395400000000000196e-02,1.883557677375449768e-02
2.039999999999999858e+01,4.872859999999999692e-02,1.526819362138167289e-02
2.060000000000000142e+01,5.173940000000000483e-02,1.723622711210315989e-02
2.080000000000000071e+01,4.701920000000000405e-02,1.653036871458105073e-02
2.100000000000000000e+01,4.521279999999999744e-02,1.385464679593095827e-02
2.119999999999999929e+01,4.997559999999999503e-02,1.197874089209713215e-02
2.139999999999999858e+01,4.557800000000000740e-02,9.622104972405986709e-03
2.160000000000000142e+01,4.039540000000000491e-02,9.116226256516453755e-03
2.180000000000000071e+01,4.363160000000000649e-02,6.166173680654802973e-03
2.200000000000000000e+01,5.482379999999999892e-02,4.013260450058031906e-03
2.219999999999999929e+01,5.315720000000000167e-02,4.785758825933458110e-03
2.239999999999999858e+01,4.631960000000000244e-02,8.721650936605981203e-03
2.260000000000000142e+01,4.123419999999999863e-02,1.129741264361004000e-02
2.280000000000000071e+01,3.818059999999999510e-02,1.140095997537049488e-02
2.300000000000000000e+01,4.151400000000000229e-02,1.348576769412850040e-02
2.319999999999999929e+01,3.679380000000000150e-02,1.288992877947740812e-02
2.339999999999999858e+01,4.155659999999999910e-02,1.022395752925451054e-02
2.360000000000000142e+01,3.850340000000000013e-02,1.013224676762266782e-02
2.380000000000000071e+01,3.530980000000000230e-02,8.316001042568478205e-03
2.400000000000000000e+01,3.836340000000000583e-02,8.978267419719687670e-03
2.419999999999999929e+01,4.141679999999999667e-02,1.116231055561526728e-02
2.439999999999999858e+01,4.178199999999999970e-02,7.430877996576179013e-03
2.460000000000000142e+01,3.993280000000000440e-02,7.471178390321034368e-03
2.480000000000000071e+01,3.844880000000000519e-02,5.928765566287808216e-03
2.500000000000000000e+01,4.131959999999999800e-02,9.713050533174425599e-03
2.519999999999999929e+01,4.465280000000000638e-02,1.127408333923428027e-02
2.539999999999999858e+01,3.645940000000000292e-02,1.034737777217010699e-02
2.560000000000000142e+01,3.039539999999999950e-02,5.778469525748146027e-03
2.580000000000000071e+01,3.053520000000000192e-02,6.402882510244897914e-03
2.600000000000000000e+01,2.872879999999999878e-02,4.814968238732213884e-03
2.619999999999999929e+01,3.196460000000000273e-02,7.170401792089478935e-03
2.639999999999999858e+01,3.349159999999999637e-02,7.499732652568355529e-03
2.660000000000000142e+01,3.501839999999999120e-02,7.504616996223057585e-03
2.680000000000000071e+01,3.993280000000000440e-02,7.471178390321034368e-03
2.700000000000000000e+01,3.673939999999999845e-02,7.253492156196212487e-03
2.719999999999999929e+01,3.035260000000000041e-02,6.331062774921759721e-03
2.739999999999999858e+01,3.507259999999999545e-02,7.161334293272447228e-03
2.760000000000000142e+01,3.035260000000000041e-02,4.754158449189509021e-03
2.780000000000000071e+01,2.558960000000000054e-02,4.470191658083576443e-03
2.800000000000000000e+01,2.554700000000000373e-02,6.856324664133109197e-03
2.819999999999999929e+01,2.707380000000000203e-02,7.679529773365033514e-03
2.839999999999999858e+01,3.044980000000000603e-02,5.802795734816106749e-03
2.860000000000000142e+01,2.892320000000000307e-02,7.308987579685712055e-03
2.880000000000000071e+01,2.406300000000000106e-02,5.494896568635300287e-03
2.900000000000000000e+01,2.086959999999999857e-02,3.941805634477681813e-03
2.919999999999999929e+01,2.392319999999999863e-02,4.704815314122329922e-03
2.939999999999999858e+01,2.725640000000000354e-02,5.300586322285487720e-03
2.960000000000000142e+01,2.739639999999999784e-02,5.586798185007222674e-03
2.980000000000000071e+01,2.392319999999999863e-02,4.704815314122329922e-03
3.000000000000000000e+01,2.058979999999999838e-02,4.321920746612552093e-03
3.019999999999999929e+01,1.878300000000000108e-02,6.469331194180739236e-03
3.039999999999999858e+01,1.892320000000000113e-02,5.527628428177856594e-03
3.060000000000000142e+01,1.892320000000000113e-02,5.527628428177856594e-03
3.080000000000000071e+01,2.045000000000000290e-02,6.897628186558043585e-03
3.100000000000000000e+01,1.739639999999999936e-02,5.463436808456742858e-03
3.119999999999999929e+01,2.243920000000000289e-02,2.590233568618860709e-03
3.139999999999999858e+01,2.549259999999999721e-02,4.091160172860504492e-03
3.160000000000000142e+01,2.235360000000000125e-02,5.892591455378524794e-03
3.180000000000000071e+01,2.100959999999999980e-02,4.240641031730933708e-03
3.200000000000000000e+01,1.934299999999999908e-02,3.239058921971009909e-03
3.220000000000000284e+01,1.767640000000000183e-02,2.924906863474459155e-03
3.239999999999999858e+01,1.785919999999999869e-02,3.024668236352542460e-03
3.260000000000000142e+01,1.623519999999999824e-02,3.670925093215605169e-03
3.279999999999999716e+01,1.956820000000000087e-02,4.413496237678242798e-03
3.300000000000000000e+01,1.804160000000000139e-02,5.009247703997078173e-03
3.320000000000000284e+01,1.975100000000000119e-02,5.874505774956731950e-03
3.339999999999999858e+01,1.975120000000000348e-02,4.541023952810643687e-03
3.360000000000000142e+01,1.818159999999999915e-02,5.597173640329554563e-03
3.379999999999999716e+01,1.633240000000000386e-02,2.762394986239296007e-03
3.400000000000000000e+01,1.484840000000000118e-02,4.145751048965675735e-03
3.420000000000000284e+01,1.804180000000000020e-02,4.781071191689158922e-03
3.439999999999999858e+01,1.785919999999999869e-02,3.024668236352542460e-03
3.460000000000000142e+01,1.637519999999999948e-02,2.860612074364505229e-03
3.479999999999999716e+01,1.466580000000000140e-02,1.784844682318324511e-03
3.500000000000000000e+01,1.795619999999999855e-02,4.941526842990939111e-03
3.520000000000000284e+01,1.642959999999999907e-02,5.366736574492919805e-03
3.539999999999999858e+01,1.661220000000000058e-02,5.944517376541177435e-03
3.560000000000000142e+01,1.661220000000000058e-02,5.944517376541177435e-03
3.579999999999999716e+01,1.327900000000000261e-02,4.310524770837073465e-03
3.600000000000000000e+01,1.494560000000000333e-02,4.917458668865453894e-03
3.620000000000000284e+01,1.647240000000000162e-02,4.695416473540978131e-03
3.639999999999999858e+01,1.970840000000000092e-02,4.447430444650034287e-03
3.660000000000000142e+01,1.818159999999999915e-02,5.597173640329554563e-03
3.679999999999999716e+01,1.998839999999999992e-02,7.345737039943643631e-03
3.700000000000000000e+01,1.633240000000000386e-02,4.391543448492796209e-03
3.720000000000000284e+01,1.818159999999999915e-02,4.938062763878158651e-03
3.739999999999999858e+01,1.989099999999999896e-02,5.803624850039844352e-03
3.760000000000000142e+01,2.160039999999999877e-02,6.987399778172135277e-03
3.779999999999999716e+01,1.651500000000000190e-02,4.634678705153141322e-03
3.800000000000000000e+01,2.127780000000000296e-02,3.701668183400560336e-03
3.820000000000000284e+01,2.113780000000000173e-02,4.397512812943244094e-03
3.839999999999999858e+01,2.280460000000000126e-02,3.383019488563434631e-03
3.860000000000000142e+01,1.637519999999999948e-02,2.860612074364505229e-03
3.879999999999999716e+01,1.448320000000000163e-02,2.850853668640324946e-03
3.900000000000000000e+01,2.243920000000000289e-02,4.285339862834685633e-03
3.920000000000000284e+01,2.243920000000000289e-02,4.285339862834685633e-03
3.939999999999999858e+01,1.938580000000000164e-02,1.916828197830989849e-03
3.960000000000000142e+01,2.257920000000000066e-02,3.007431236121617130e-03
3.979999999999999716e+01,1.920320000000000360e-02,3.007800265975119677e-03
4.000000000000000000e+01,1.448280000000000053e-02,3.040519666109725745e-03
4.020000000000000284e+01,1.938559999999999936e-02,4.190836832901037937e-03
4.039999999999999858e+01,2.105240000000000236e-02,3.336180264913753048e-03
4.060000000000000142e+01,1.767640000000000183e-02,2.924906863474459155e-03
4.079999999999999716e+01,1.785920000000000216e-02,3.024668236352542460e-03
4.100000000000000000e+01,2.105240000000000236e-02,3.336180264913753048e-03
4.120000000000000284e+01,1.637500000000000067e-02,3.889446554459901565e-03
4.139999999999999858e+01,1.961099999999999996e-02,4.508127138846020412e-03
4.160000000000000142e+01,1.776180000000000120e-02,3.039885300467766102e-03
4.179999999999999716e+01,1.947120000000000101e-02,4.347102855926002207e-03
4.200000000000000000e+01,1.947120000000000101e-02,5.725898561797965018e-03
4.220000000000000284e+01,2.109499999999999917e-02,4.304245717892974180e-03
4.239999999999999858e+01,1.637500000000000067e-02,5.175192972247508530e-03
4.260000000000000142e+01,1.619240000000000262e-02,3.594498526915820228e-03
4.279999999999999716e+01,1.771900000000000211e-02,2.952676836363912153e-03
4.300000000000000000e+01,1.771900000000000211e-02,2.952676836363912153e-03
4.320000000000000284e+01,1.771900000000000211e-02,2.952676836363912153e-03
4.339999999999999858e+01,1.605240000000000139e-02,4.395134794292434102e-03
4.360000000000000142e+01,1.609520000000000048e-02,4.458192149291009820e-03
4.379999999999999716e+01,1.609520000000000048e-02,4.458192149291009820e-03
4.400000000000000000e+01,1.285920000000000119e-02,4.036906976882177409e-03
4.420000000000000284e+01,1.285920000000000119e-02,4.036906976882177409e-03
4.439999999999999858e+01,1.456860000000000099e-02,4.778927689346219518e-03
4.460000000000000142e+01,1.609520000000000048e-02,4.458192149291009820e-03
4.479999999999999716e+01,1.133240000000000115e-02,3.310864850760296581e-03
4.500000000000000000e+01,1.133240000000000115e-02,3.310864850760296581e-03
4.520000000000000284e+01,1.304180000000000096e-02,4.336855305402752270e-03
4.539999999999999858e+01,9.805799999999999933e-03,3.207655442842949605e-03
4.560000000000000142e+01,1.151519999999999974e-02,4.409118544561939877e-03
4.579999999999999716e+01,1.137499999999999969e-02,4.308746279371761419e-03
4.600000000000000000e+01,1.137499999999999969e-02,4.308746279371761419e-03
4.620000000000000284e+01,1.285920000000000119e-02,4.036906976882177409e-03
4.639999999999999858e+01,1.285920000000000119e-02,4.036906976882177409e-03
4.660000000000000142e+01,1.285920000000000119e-02,4.036906976882177409e-03
4.679999999999999716e+01,1.133240000000000115e-02,3.310864850760296581e-03
4.700000000000000000e+01,1.285900000000000064e-02,3.235636707048552153e-03
4.720000000000000284e+01,1.133240000000000115e-02,3.310864850760296581e-03
4.739999999999999858e+01,1.285900000000000064e-02,3.235636707048552153e-03
4.760000000000000142e+01,1.299900000000000187e-02,2.072701787522749414e-03
4.779999999999999716e+01,9.805600000000001121e-03,4.014511534421093437e-03
4.800000000000000000e+01,1.133240000000000115e-02,3.310864850760296581e-03
4.820000000000000284e+01,1.133220000000000234e-02,2.004346212608989607e-03
4.839999999999999858e+01,1.466560000000000086e-02,3.182796358550135218e-03
4.860000000000000142e+01,1.466560000000000086e-02,3.182796358550135218e-03
4.879999999999999716e+01,1.142939999999999928e-02,4.167825963257103423e-03
