t,D_solv_mean,D_solv_err
0.000000000000000000e+00,nan,nan
4.000000000000000000e+00,1.866662083333333333e-01,3.477877447986023047e-04
8.000000000000000000e+00,1.380450604166666984e-01,1.537759705447989717e-04
1.200000000000000000e+01,1.220587000000000061e-01,1.104370578888445832e-04
1.600000000000000000e+01,1.140590729166666567e-01,7.204355646593215887e-05
2.000000000000000000e+01,1.093313583333333366e-01,5.399934849001009936e-05
2.400000000000000000e+01,1.061539583333332981e-01,5.069227439123396569e-05
2.800000000000000000e+01,1.039077678571428409e-01,3.687752477787417031e-05
3.200000000000000000e+01,1.022301197916666571e-01,3.002713862391793984e-05
3.600000000000000000e+01,1.008861250000000070e-01,3.584316549454727446e-05
4.000000000000000000e+01,9.985634166666665368e-02,2.842294231235246944e-05
4.400000000000000000e+01,9.897009090909089646e-02,2.316238319574715640e-05
4.800000000000000000e+01,9.824877777777776822e-02,2.227703309921950543e-05
5.200000000000000000e+01,9.764118269230767644e-02,2.674537127134141468e-05
5.600000000000000000e+01,9.712155654761904511e-02,2.679927715486381620e-05
6.000000000000000000e+01,9.667225833333334406e-02,2.590159408807103647e-05
6.400000000000000000e+01,9.627855208333332970e-02,2.735831325144342870e-05
6.800000000000000000e+01,9.592620833333333208e-02,2.593087422712455449e-05
7.200000000000000000e+01,9.560376851851851154e-02,2.893383572984870009e-05
7.600000000000000000e+01,9.532544078947367827e-02,2.985108961122263336e-05
8.000000000000000000e+01,9.508180833333332305e-02,2.935703725811023937e-05
8.400000000000000000e+01,9.485774007936506602e-02,2.664826965669029747e-05
8.800000000000000000e+01,9.465677840909091090e-02,2.998405024777991176e-05
9.200000000000000000e+01,9.446164855072464173e-02,3.227947535990307259e-05
9.600000000000000000e+01,9.429551388888887664e-02,3.183705143057245437e-05
1.000000000000000000e+02,9.413407499999999761e-02,3.147198845161792335e-05
1.040000000000000000e+02,9.399227564102564936e-02,3.106343360929653016e-05
1.080000000000000000e+02,9.384811882716050102e-02,3.143883583503941846e-05
1.120000000000000000e+02,9.372771279761904495e-02,3.330999351544833948e-05
1.160000000000000000e+02,9.360655747126436776e-02,3.285065668427917824e-05
1.200000000000000000e+02,9.349651805555556083e-02,3.069041493926611254e-05
1.240000000000000000e+02,9.339177822580643773e-02,3.320289653382662730e-05
1.280000000000000000e+02,9.330523828124999419e-02,3.518790595378706019e-05
1.320000000000000000e+02,9.321156439393939175e-02,3.487424426182534395e-05
1.360000000000000000e+02,9.312686274509804352e-02,3.401076603610920769e-05
1.400000000000000000e+02,9.304506785714285189e-02,3.235237894946649007e-05
1.440000000000000000e+02,9.297257986111111261e-02,3.544120186430513303e-05
1.480000000000000000e+02,9.289654166666666546e-02,3.601119629419430296e-05
1.520000000000000000e+02,9.283361403508771925e-02,3.605970424666151753e-05
1.560000000000000000e+02,9.276844764957263567e-02,3.623538857028650996e-05
1.600000000000000000e+02,9.269963020833332790e-02,3.732968303455206927e-05
1.640000000000000000e+02,9.264455691056912301e-02,3.675344306021362451e-05
1.680000000000000000e+02,9.258929662698414664e-02,3.691010584359216852e-05
1.720000000000000000e+02,9.253535077519380037e-02,3.729548289478315542e-05
1.760000000000000000e+02,9.248397821969697730e-02,3.733707471516815320e-05
1.800000000000000000e+02,9.243290740740742195e-02,3.738384653035788102e-05
1.840000000000000000e+02,9.238633152173911234e-02,3.804317980194998910e-05
1.880000000000000000e+02,9.234523049645390613e-02,3.809517452871985250e-05
1.920000000000000000e+02,9.230218749999999361e-02,3.854981805414786595e-05
1.960000000000000000e+02,9.226091836734692797e-02,3.851827902124797332e-05
2.000000000000000000e+02,9.222242499999999676e-02,3.936552443304728167e-05
2.040000000000000000e+02,9.218307189542482294e-02,3.891936506838095258e-05
2.080000000000000000e+02,9.214858974358976218e-02,3.922360024366685732e-05
