A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
1.8330805735719902,0.33601636449228495,0,0,0,0,1.1551488190118042,0.12335392139581164,0.03356130937885981,3.67548
4.827365608122115,2.5558895715983887,0,0,0,0,1.024628675892797,0.09875203395740026,0.03274651698884163,3.01565
2.097835002313042,0.24197085464128726,0,0,0,0,0.996888478186493,0.04443444453549084,0.016931793582905606,2.62432
1.8443634647815201,0.07899676287732936,0,0,0,0,1.1528265941546525,0.03666423471258952,0.0214802649937837,1.70688
3.0652922004093868,0.444937783555443,0,0,0,0,1.253820653540389,0.1024189511036729,0.07391881340661748,1.38556
1.4726174572432145,0.10410491275739797,0,0,0,0,3.073648778829542,0.2508426906359426,0.19899463776600895,1.26055
1.6926930432138352,0.03321228941155588,0,0,0,0,6.179789693425302,0.26802001170366146,0.25020071666292776,1.07122
1.603021527585121,0.07251385003390626,0,0,0,0,7.4578503444496445,0.8460680327902197,0.8788673627687494,0.96268
1.170023720665148,0.028163537937976168,0,0,0,0,18.980182250135822,2.2322481388551996,2.6566792093392357,0.84024
0.9068354706369204,0.022008450827281534,0,0,0,0,181102781.57045156,162158741.43386716,210115504.0865906,0.77176
0.3122046372549273,0.009805578110447001,0,0,0,0,63.367646395653956,24.543515646935933,37.42701808093681,0.65577
