r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,7.379080597285921250e+00,1.977150974550154094e+00,1.445368057551321824e-03,5.539204379986287785e-01,1.044831332996101064e-02
1.499999999999999944e-02,5.802900089880409062e+00,1.201002568803849258e+00,4.496588993923406052e-01,5.713471625736068482e-01,4.196135978725990673e-02
2.000000000000000042e-02,4.047296222540963662e+00,1.524513159432339782e+00,3.550149878901170397e-01,7.376761355915307794e-01,6.072325043022624991e-02
5.000000000000000278e-02,1.280073325823425145e+00,9.579564782559074620e-01,4.124242194503110470e-01,1.309695343960036729e+00,1.510021982086759695e-01
8.000000000000000167e-02,1.331736123959974316e+00,1.644987503292005160e+00,2.466216406044577092e-01,2.619300355137022862e+00,2.620977155291080440e-01
1.000000000000000056e-01,1.484362982114770579e+00,1.968660357036511543e+00,8.359080283420923518e-03,4.268174957106249501e+00,3.621957077503887845e-01
1.499999999999999944e-01,6.771981653910176258e-01,1.522271228945460519e+00,4.197978350262505237e-02,6.850904908558256068e+00,3.006300187401605428e-01
2.000000000000000111e-01,9.364009863082883856e-01,1.889402715887246842e+00,4.524469292620877242e-02,2.163650564170413659e+01,1.216534369242921576e+00
2.999999999999999889e-01,7.338962843960015192e-01,1.890140179161342138e+00,7.312879795062349197e-02,2.454014817310190608e+04,7.611303003937651113e+02
4.000000000000000222e-01,5.099352365091659456e-01,1.740973937210751110e+00,3.416336165144473469e-02,6.415910335242412543e+01,5.243068439044063389e+00
8.000000000000000444e-01,5.784945432269976706e-01,1.593470411098802941e+00,1.089511136344814141e-01,3.818959798989981724e+00,2.618595114308718275e-01
