r_value,ac,bc,bc_err,lc,lc_err
1.000000000000000021e-02,3.963919073922934189e+00,1.774784916601655382e+00,5.881037821135248062e-02,7.696089256190347117e-01,2.260459916090493473e-02
1.499999999999999944e-02,2.752091766757139624e+00,1.486577995131896701e+00,2.120814910996511038e-01,9.434486382563282980e-01,6.839233297835545233e-02
2.000000000000000042e-02,2.056784184708241092e+00,1.496874921852389129e+00,1.289725792463699006e-01,1.213093739651389891e+00,9.263690295783530426e-02
5.000000000000000278e-02,8.214613653145160788e-01,1.257902658450072542e+00,1.991115529178638655e-01,3.240701003416175396e+00,3.155656648383618479e-01
8.000000000000000167e-02,5.747659527257925616e-01,1.469713934819171675e+00,5.675494325700113779e-02,1.041690864026219643e+01,7.570074382824928394e-01
1.000000000000000056e-01,5.691018312665435674e-01,1.630056062879839729e+00,1.505296929791266267e-02,2.827109655096879592e+01,2.154198676477205865e+00
1.499999999999999944e-01,6.257281269814592983e-01,1.810430052954951519e+00,1.952068306979547543e-02,3.903914926394875806e+01,4.159441438758991083e+00
2.000000000000000111e-01,6.012451871681140370e-01,1.837956702982370905e+00,7.946316477161971537e-03,1.069870526495559027e+01,6.565984538742167809e-01
2.999999999999999889e-01,8.780383685438531982e-01,1.795150506295751791e+00,4.477229560211305748e-02,2.652707434185273883e+00,2.537361110995435265e-01
4.000000000000000222e-01,5.108148609345235514e-01,1.849999999993564570e+00,3.713369144919087388e-12,2.019018514321807345e+00,1.405479359025143260e-01
8.000000000000000444e-01,nan,nan,nan,nan,nan
