r_value,n_plus,n_minus,probability
0.15,339.0,422.21999999999997,0.0
0.15,339.0,449.46,0.0
0.15,339.0,476.7,0.0
0.15,339.0,503.93999999999994,0.0
0.15,339.0,531.18,0.0
0.15,339.0,558.42,0.0
0.15,339.0,585.66,0.0
0.15,339.0,612.9,0.0
0.15,339.0,640.14,0.0
0.15,339.0,667.38,0.0
0.15,366.12,13.62,0.0
0.15,366.12,40.86,0.0
0.15,366.12,68.1,0.0
0.15,366.12,95.34,0.0
0.15,366.12,122.57999999999998,0.0
0.15,366.12,149.82,0.0
0.15,366.12,177.06,0.0
0.15,366.12,204.29999999999998,0.0
0.15,366.12,231.54,0.0
0.15,366.12,258.78,0.0
0.15,366.12,286.02,0.0
0.15,366.12,313.26,0.0
0.15,366.12,340.5,0.0
0.15,366.12,367.74,1.992452589590631e-06
0.15,366.12,394.97999999999996,0.0
0.15,366.12,422.21999999999997,0.0
0.15,366.12,449.46,0.0
0.15,366.12,476.7,0.0
0.15,366.12,503.93999999999994,0.0
0.15,366.12,531.18,0.0
0.15,366.12,558.42,0.0
0.15,366.12,585.66,0.0
0.15,366.12,612.9,0.0
0.15,366.12,640.14,0.0
0.15,366.12,667.38,0.0
0.15,393.24,13.62,0.0
0.15,393.24,40.86,0.0
0.15,393.24,68.1,0.0
0.15,393.24,95.34,0.0
0.15,393.24,122.57999999999998,0.0
0.15,393.24,149.82,0.0
0.15,393.24,177.06,0.0
0.15,393.24,204.29999999999998,0.0
0.15,393.24,231.54,0.0
0.15,393.24,258.78,0.0
0.15,393.24,286.02,0.0
0.15,393.24,313.26,0.0
0.15,393.24,340.5,0.0
0.15,393.24,367.74,0.0
0.15,393.24,394.97999999999996,1.992452589590631e-06
0.15,393.24,422.21999999999997,0.0
0.15,393.24,449.46,0.0
0.15,393.24,476.7,0.0
0.15,393.24,503.93999999999994,0.0
0.15,393.24,531.18,0.0
0.15,393.24,558.42,0.0
0.15,393.24,585.66,0.0
0.15,393.24,612.9,0.0
0.15,393.24,640.14,0.0
0.15,393.24,667.38,0.0
0.15,420.36,13.62,0.0
0.15,420.36,40.86,0.0
0.15,420.36,68.1,0.0
0.15,420.36,95.34,0.0
0.15,420.36,122.57999999999998,0.0
0.15,420.36,149.82,0.0
0.15,420.36,177.06,0.0
0.15,420.36,204.29999999999998,0.0
0.15,420.36,231.54,0.0
0.15,420.36,258.78,0.0
0.15,420.36,286.02,0.0
0.15,420.36,313.26,0.0
0.15,420.36,340.5,0.0
0.15,420.36,367.74,0.0
0.15,420.36,394.97999999999996,3.984905179181262e-06
0.15,420.36,422.21999999999997,1.992452589590631e-06
0.15,420.36,449.46,1.992452589590631e-06
0.15,420.36,476.7,0.0
0.15,420.36,503.93999999999994,0.0
0.15,420.36,531.18,0.0
0.15,420.36,558.42,0.0
0.15,420.36,585.66,0.0
0.15,420.36,612.9,0.0
0.15,420.36,640.14,0.0
0.15,420.36,667.38,0.0
0.15,447.48,13.62,0.0
0.15,447.48,40.86,0.0
0.15,447.48,68.1,0.0
0.15,447.48,95.34,0.0
0.15,447.48,122.57999999999998,0.0
0.15,447.48,149.82,0.0
0.15,447.48,177.06,0.0
0.15,447.48,204.29999999999998,0.0
0.15,447.48,231.54,0.0
0.15,447.48,258.78,0.0
0.15,447.48,286.02,0.0
0.15,447.48,313.26,0.0
0.15,447.48,340.5,0.0
0.15,447.48,367.74,0.0
0.15,447.48,394.97999999999996,0.0
0.15,447.48,422.21999999999997,3.984905179181262e-06
0.15,447.48,449.46,5.9773577687718925e-06
0.15,447.48,476.7,1.992452589590631e-06
0.15,447.48,503.93999999999994,0.0
0.15,447.48,531.18,0.0
0.15,447.48,558.42,0.0
0.15,447.48,585.66,0.0
0.15,447.48,612.9,0.0
0.15,447.48,640.14,0.0
0.15,447.48,667.38,0.0
0.15,474.6,13.62,0.0
0.15,474.6,40.86,0.0
0.15,474.6,68.1,0.0
0.15,474.6,95.34,0.0
0.15,474.6,122.57999999999998,0.0
0.15,474.6,149.82,0.0
0.15,474.6,177.06,0.0
0.15,474.6,204.29999999999998,0.0
0.15,474.6,231.54,0.0
0.15,474.6,258.78,0.0
0.15,474.6,286.02,0.0
0.15,474.6,313.26,0.0
0.15,474.6,340.5,0.0
0.15,474.6,367.74,0.0
0.15,474.6,394.97999999999996,0.0
0.15,474.6,422.21999999999997,0.0
0.15,474.6,449.46,1.992452589590631e-06
0.15,474.6,476.7,2.59018836646782e-05
0.15,474.6,503.93999999999994,1.992452589590631e-06
0.15,474.6,531.18,0.0
0.15,474.6,558.42,0.0
0.15,474.6,585.66,0.0
0.15,474.6,612.9,0.0
0.15,474.6,640.14,0.0
0.15,474.6,667.38,0.0
0.15,501.72,13.62,0.0
0.15,501.72,40.86,0.0
0.15,501.72,68.1,0.0
0.15,501.72,95.34,0.0
0.15,501.72,122.57999999999998,0.0
0.15,501.72,149.82,0.0
0.15,501.72,177.06,0.0
0.15,501.72,204.29999999999998,0.0
0.15,501.72,231.54,0.0
0.15,501.72,258.78,0.0
0.15,501.72,286.02,0.0
0.15,501.72,313.26,0.0
0.15,501.72,340.5,0.0
0.15,501.72,367.74,0.0
0.15,501.72,394.97999999999996,0.0
0.15,501.72,422.21999999999997,0.0
0.15,501.72,449.46,0.0
0.15,501.72,476.7,1.1954715537543785e-05
0.15,501.72,503.93999999999994,7.969810358362523e-05
0.15,501.72,531.18,2.390943107508757e-05
0.15,501.72,558.42,0.0
0.15,501.72,585.66,0.0
0.15,501.72,612.9,0.0
0.15,501.72,640.14,0.0
0.15,501.72,667.38,0.0
0.15,528.8399999999999,13.62,0.0
0.15,528.8399999999999,40.86,0.0
0.15,528.8399999999999,68.1,0.0
0.15,528.8399999999999,95.34,0.0
0.15,528.8399999999999,122.57999999999998,0.0
0.15,528.8399999999999,149.82,0.0
0.15,528.8399999999999,177.06,0.0
0.15,528.8399999999999,204.29999999999998,0.0
0.15,528.8399999999999,231.54,0.0
0.15,528.8399999999999,258.78,0.0
0.15,528.8399999999999,286.02,0.0
0.15,528.8399999999999,313.26,0.0
0.15,528.8399999999999,340.5,0.0
0.15,528.8399999999999,367.74,0.0
0.15,528.8399999999999,394.97999999999996,0.0
0.15,528.8399999999999,422.21999999999997,0.0
0.15,528.8399999999999,449.46,0.0
0.15,528.8399999999999,476.7,0.0
0.15,528.8399999999999,503.93999999999994,2.390943107508757e-05
0.15,528.8399999999999,531.18,0.0002470641211092382
0.15,528.8399999999999,558.42,3.984905179181262e-05
0.15,528.8399999999999,585.66,0.0
0.15,528.8399999999999,612.9,0.0
0.15,528.8399999999999,640.14,0.0
0.15,528.8399999999999,667.38,0.0
0.15,555.96,13.62,0.0
0.15,555.96,40.86,0.0
0.15,555.96,68.1,0.0
0.15,555.96,95.34,0.0
0.15,555.96,122.57999999999998,0.0
0.15,555.96,149.82,0.0
0.15,555.96,177.06,0.0
0.15,555.96,204.29999999999998,0.0
0.15,555.96,231.54,0.0
0.15,555.96,258.78,0.0
0.15,555.96,286.02,0.0
0.15,555.96,313.26,0.0
0.15,555.96,340.5,0.0
0.15,555.96,367.74,0.0
0.15,555.96,394.97999999999996,0.0
0.15,555.96,422.21999999999997,0.0
0.15,555.96,449.46,0.0
0.15,555.96,476.7,0.0
0.15,555.96,503.93999999999994,0.0
0.15,555.96,531.18,9.563772430035028e-05
0.15,555.96,558.42,0.0007989734884258429
0.15,555.96,585.66,7.571319840444397e-05
0.15,555.96,612.9,0.0
0.15,555.96,640.14,0.0
0.15,555.96,667.38,0.0
0.15,583.0799999999999,13.62,0.0
0.15,583.0799999999999,40.86,0.0
0.15,583.0799999999999,68.1,0.0
0.15,583.0799999999999,95.34,0.0
0.15,583.0799999999999,122.57999999999998,0.0
0.15,583.0799999999999,149.82,0.0
0.15,583.0799999999999,177.06,0.0
0.15,583.0799999999999,204.29999999999998,0.0
0.15,583.0799999999999,231.54,0.0
0.15,583.0799999999999,258.78,0.0
0.15,583.0799999999999,286.02,0.0
0.15,583.0799999999999,313.26,0.0
0.15,583.0799999999999,340.5,0.0
0.15,583.0799999999999,367.74,0.0
0.15,583.0799999999999,394.97999999999996,0.0
0.15,583.0799999999999,422.21999999999997,0.0
0.15,583.0799999999999,449.46,0.0
0.15,583.0799999999999,476.7,0.0
0.15,583.0799999999999,503.93999999999994,0.0
0.15,583.0799999999999,531.18,0.0
0.15,583.0799999999999,558.42,0.0002849207203114602
0.15,583.0799999999999,585.66,0.0017354262055334394
0.15,583.0799999999999,612.9,0.00016537356493602235
0.15,583.0799999999999,640.14,0.0
0.15,583.0799999999999,667.38,0.0
0.15,610.2,13.62,0.0
0.15,610.2,40.86,0.0
0.15,610.2,68.1,0.0
0.15,610.2,95.34,0.0
0.15,610.2,122.57999999999998,0.0
0.15,610.2,149.82,0.0
0.15,610.2,177.06,0.0
0.15,610.2,204.29999999999998,0.0
0.15,610.2,231.54,0.0
0.15,610.2,258.78,0.0
0.15,610.2,286.02,0.0
0.15,610.2,313.26,0.0
0.15,610.2,340.5,0.0
0.15,610.2,367.74,0.0
0.15,610.2,394.97999999999996,0.0
0.15,610.2,422.21999999999997,0.0
0.15,610.2,449.46,0.0
0.15,610.2,476.7,0.0
0.15,610.2,503.93999999999994,0.0
0.15,610.2,531.18,0.0
0.15,610.2,558.42,0.0
0.15,610.2,585.66,0.000555894272495786
0.15,610.2,612.9,0.0028013883409644265
0.15,610.2,640.14,0.00018330563824233803
0.15,610.2,667.38,0.0
0.15,637.3199999999999,13.62,0.0
0.15,637.3199999999999,40.86,0.0
0.15,637.3199999999999,68.1,0.0
0.15,637.3199999999999,95.34,0.0
0.15,637.3199999999999,122.57999999999998,0.0
0.15,637.3199999999999,149.82,0.0
0.15,637.3199999999999,177.06,0.0
0.15,637.3199999999999,204.29999999999998,0.0
0.15,637.3199999999999,231.54,0.0
0.15,637.3199999999999,258.78,0.0
0.15,637.3199999999999,286.02,0.0
0.15,637.3199999999999,313.26,0.0
0.15,637.3199999999999,340.5,0.0
0.15,637.3199999999999,367.74,0.0
0.15,637.3199999999999,394.97999999999996,0.0
0.15,637.3199999999999,422.21999999999997,0.0
0.15,637.3199999999999,449.46,0.0
0.15,637.3199999999999,476.7,0.0
0.15,637.3199999999999,503.93999999999994,0.0
0.15,637.3199999999999,531.18,0.0
0.15,637.3199999999999,558.42,0.0
0.15,637.3199999999999,585.66,0.0
0.15,637.3199999999999,612.9,0.0005817961561604642
0.15,637.3199999999999,640.14,0.001797192235810749
0.15,637.3199999999999,667.38,5.18037673293564e-05
0.15,664.44,13.62,0.0
0.15,664.44,40.86,0.0
0.15,664.44,68.1,0.0
0.15,664.44,95.34,0.0
0.15,664.44,122.57999999999998,0.0
0.15,664.44,149.82,0.0
0.15,664.44,177.06,0.0
0.15,664.44,204.29999999999998,0.0
0.15,664.44,231.54,0.0
0.15,664.44,258.78,0.0
0.15,664.44,286.02,0.0
0.15,664.44,313.26,0.0
0.15,664.44,340.5,0.0
0.15,664.44,367.74,0.0
0.15,664.44,394.97999999999996,0.0
0.15,664.44,422.21999999999997,0.0
0.15,664.44,449.46,0.0
0.15,664.44,476.7,0.0
0.15,664.44,503.93999999999994,0.0
0.15,664.44,531.18,0.0
0.15,664.44,558.42,0.0
0.15,664.44,585.66,0.0
0.15,664.44,612.9,0.0
0.15,664.44,640.14,0.00013947168127134414
0.15,664.44,667.38,0.00023112450039251316
