r_value,n_plus,n_minus,probability
0.05,0.58,0.64,0.704375895821338
0.05,0.58,1.92,0.05103782560936269
0.05,0.58,3.2,0.0027492271945836243
0.05,0.58,4.48,7.656592632520305e-05
0.05,0.58,5.76,0.0
0.05,0.58,7.04,0.0
0.05,0.58,8.32,0.0
0.05,0.58,9.600000000000001,0.0
0.05,0.58,10.879999999999999,0.0
0.05,0.58,12.16,0.0
0.05,0.58,13.440000000000001,0.0
0.05,0.58,14.719999999999999,0.0
0.05,0.58,16.0,0.0
0.05,0.58,17.28,0.0
0.05,0.58,18.560000000000002,0.0
0.05,0.58,19.84,0.0
0.05,0.58,21.12,0.0
0.05,0.58,22.4,0.0
0.05,0.58,23.68,0.0
0.05,0.58,24.96,0.0
0.05,0.58,26.240000000000002,0.0
0.05,0.58,27.52,0.0
0.05,0.58,28.8,0.0
0.05,0.58,30.08,0.0
0.05,0.58,31.36,0.0
0.05,1.7399999999999998,0.64,0.0508673388134119
0.05,1.7399999999999998,1.92,0.057269271133216545
0.05,1.7399999999999998,3.2,0.018273734416281794
0.05,1.7399999999999998,4.48,0.0022173492263778804
0.05,1.7399999999999998,5.76,4.083516070677496e-06
0.05,1.7399999999999998,7.04,0.0
0.05,1.7399999999999998,8.32,0.0
0.05,1.7399999999999998,9.600000000000001,0.0
0.05,1.7399999999999998,10.879999999999999,0.0
0.05,1.7399999999999998,12.16,0.0
0.05,1.7399999999999998,13.440000000000001,0.0
0.05,1.7399999999999998,14.719999999999999,0.0
0.05,1.7399999999999998,16.0,0.0
0.05,1.7399999999999998,17.28,0.0
0.05,1.7399999999999998,18.560000000000002,0.0
0.05,1.7399999999999998,19.84,0.0
0.05,1.7399999999999998,21.12,0.0
0.05,1.7399999999999998,22.4,0.0
0.05,1.7399999999999998,23.68,0.0
0.05,1.7399999999999998,24.96,0.0
0.05,1.7399999999999998,26.240000000000002,0.0
0.05,1.7399999999999998,27.52,0.0
0.05,1.7399999999999998,28.8,0.0
0.05,1.7399999999999998,30.08,0.0
0.05,1.7399999999999998,31.36,0.0
0.05,2.8999999999999995,0.64,0.0027818953231490444
0.05,2.8999999999999995,1.92,0.018399302535455127
0.05,2.8999999999999995,3.2,0.021194469285833874
0.05,2.8999999999999995,4.48,0.010036261622707616
0.05,2.8999999999999995,5.76,0.00010923405489062302
0.05,2.8999999999999995,7.04,3.062637053008122e-06
0.05,2.8999999999999995,8.32,0.0
0.05,2.8999999999999995,9.600000000000001,0.0
0.05,2.8999999999999995,10.879999999999999,0.0
0.05,2.8999999999999995,12.16,0.0
0.05,2.8999999999999995,13.440000000000001,0.0
0.05,2.8999999999999995,14.719999999999999,0.0
0.05,2.8999999999999995,16.0,0.0
0.05,2.8999999999999995,17.28,0.0
0.05,2.8999999999999995,18.560000000000002,0.0
0.05,2.8999999999999995,19.84,0.0
0.05,2.8999999999999995,21.12,0.0
0.05,2.8999999999999995,22.4,0.0
0.05,2.8999999999999995,23.68,0.0
0.05,2.8999999999999995,24.96,0.0
0.05,2.8999999999999995,26.240000000000002,0.0
0.05,2.8999999999999995,27.52,0.0
0.05,2.8999999999999995,28.8,0.0
0.05,2.8999999999999995,30.08,0.0
