r_value,n_plus,n_minus,probability
0.2,19.54,19.58,0.9818818304775819
0.2,19.54,58.739999999999995,0.0
0.2,19.54,97.89999999999999,0.0
0.2,19.54,137.06,0.0
0.2,19.54,176.21999999999997,0.0
0.2,19.54,215.38,0.0
0.2,19.54,254.54,0.0
0.2,19.54,293.7,0.0
0.2,19.54,332.85999999999996,0.0
0.2,19.54,372.02,0.0
0.2,19.54,411.17999999999995,0.0
0.2,19.54,450.34,0.0
0.2,19.54,489.49999999999994,0.0
0.2,19.54,528.66,0.0
0.2,19.54,567.8199999999999,0.0
0.2,19.54,606.98,0.0
0.2,19.54,646.1399999999999,0.0
0.2,19.54,685.3,0.0
0.2,19.54,724.4599999999999,0.0
0.2,19.54,763.6199999999999,0.0
0.2,19.54,802.78,0.0
0.2,19.54,841.9399999999999,0.0
0.2,19.54,881.0999999999999,0.0
0.2,19.54,920.26,0.0
0.2,19.54,959.42,0.0
0.2,58.62,19.58,0.0
0.2,58.62,58.739999999999995,0.0
0.2,58.62,97.89999999999999,0.0
0.2,58.62,137.06,0.0
0.2,58.62,176.21999999999997,0.0
0.2,58.62,215.38,0.0
0.2,58.62,254.54,0.0
0.2,58.62,293.7,0.0
0.2,58.62,332.85999999999996,0.0
0.2,58.62,372.02,0.0
0.2,58.62,411.17999999999995,0.0
0.2,58.62,450.34,0.0
0.2,58.62,489.49999999999994,0.0
0.2,58.62,528.66,0.0
0.2,58.62,567.8199999999999,0.0
0.2,58.62,606.98,0.0
0.2,58.62,646.1399999999999,0.0
0.2,58.62,685.3,0.0
0.2,58.62,724.4599999999999,0.0
0.2,58.62,763.6199999999999,0.0
0.2,58.62,802.78,0.0
0.2,58.62,841.9399999999999,0.0
0.2,58.62,881.0999999999999,0.0
0.2,58.62,920.26,0.0
0.2,58.62,959.42,0.0
0.2,97.69999999999999,19.58,0.0
0.2,97.69999999999999,58.739999999999995,0.0
0.2,97.69999999999999,97.89999999999999,0.0
0.2,97.69999999999999,137.06,0.0
0.2,97.69999999999999,176.21999999999997,0.0
0.2,97.69999999999999,215.38,0.0
0.2,97.69999999999999,254.54,0.0
0.2,97.69999999999999,293.7,0.0
0.2,97.69999999999999,332.85999999999996,0.0
