r*,g_CA_avg,g_CA_err
0.05,0.0,0.0
0.15000000000000002,0.0,0.0
0.25,0.0,0.0
0.35000000000000003,0.0,0.0
0.45,0.0,0.0
0.55,0.0,0.0
0.6500000000000001,0.0,0.0
0.75,0.0,0.0
0.8500000000000001,4.9165343777903505e-05,4.896883540495862e-06
0.95,0.15657434856462382,0.0001244802377347624
1.05,1.0634243432060302,0.0004757102731653655
1.1500000000000001,1.3240245160347042,0.000599994073228784
1.25,1.250910612972355,0.0003609539191307413
1.35,1.1895674290092153,0.00045677768417786823
1.4500000000000002,1.139540515688074,0.00033195042303675956
1.55,1.0992529807227196,0.0003412193150522601
1.6500000000000001,1.0677025641329951,0.00033878991009018137
1.75,1.0447702854221768,0.0002756727562622094
1.85,1.0295910152959187,0.0002206783296403873
1.9500000000000002,1.0225085457101124,0.000254692108920393
2.05,1.0212702096189983,0.00025629802865103816
2.1500000000000004,1.0225515533218874,0.0001546964054392582
2.25,1.0225510154710384,0.00017556920340027683
2.3500000000000005,1.0216174905827031,0.00012242510620586757
2.45,1.0206874365764396,0.0001752811579944666
2.55,1.0184772727295008,0.00021988725663285938
2.6500000000000004,1.0166519550883304,0.00014786603734012228
2.75,1.0143510350396339,9.390422600735786e-05
2.8500000000000005,1.012724560560493,0.00017169676099367933
2.95,1.011151964580479,0.00017900671379078142
3.05,1.0097690023704966,0.00017618973361871888
3.1500000000000004,1.0090242677269532,0.00019616019789451565
3.25,1.0083387595107254,0.00010860567193557972
3.3500000000000005,1.007307249878553,0.0001279503877876636
3.45,1.0066523182989093,0.00012965902545573974
3.55,1.0058933824765797,8.078041443556176e-05
3.6500000000000004,1.0052547155401734,0.00015127331234406844
3.75,1.0050513005556911,0.00014694494259371733
3.8500000000000005,1.0045848513801334,8.418603203728665e-05
3.95,1.004206360535916,0.0001228362462083078
4.050000000000001,1.003653816704419,0.00011412954725214683
4.15,1.0031728411225747,8.877080842075473e-05
4.25,1.003092113143204,8.787639778177785e-05
4.35,1.0027994612243822,0.00011697703501194911
4.45,1.002337945126389,0.00012180289525336207
4.550000000000001,1.0022312171911887,0.00011494151987012119
4.65,1.0020497868955724,0.0001047002846947629
4.75,1.0018438778182532,0.00013185054666892395
4.8500000000000005,1.0017317013508127,7.623689061582159e-05
4.95,1.001675847908491,0.0001215443048045941
5.050000000000001,1.0013967982372767,0.00012403069289826024
5.15,1.001070712802755,9.616265185491529e-05
5.25,1.0010508104462752,7.728061757094384e-05
5.3500000000000005,1.0011706242770706,0.00011601798295817975
5.45,1.0007902185677164,5.511763316387404e-05
5.550000000000001,1.0008495426650046,0.00010161936030465672
5.65,1.0007781719133704,9.24923275083735e-05
5.75,1.0006326108576153,0.00012335330594866447
5.8500000000000005,1.0004418880796728,6.530469828524442e-05
5.95,1.000509351163117,5.031037819286515e-05
6.050000000000001,1.0005025255097537,6.254540594064844e-05
6.15,1.000444858906166,8.236779302335786e-05
6.25,1.0003775838429223,7.206634014144989e-05
6.3500000000000005,1.0003231323151773,6.876624204220476e-05
6.45,1.0002848737704866,8.214980368567137e-05
6.550000000000001,1.000253588558478,5.070023367516669e-05
6.65,1.0002163355533247,0.00010100118274940104
6.75,1.0002199847354407,6.907479221669014e-05
6.8500000000000005,1.0002160670280915,8.832722964153244e-05
6.95,1.0001949143093676,6.042040890143892e-05
7.050000000000001,1.0001481506652623,4.0811127871605705e-05
7.15,1.0000856901801216,5.829810166306382e-05
7.25,1.000002913730844,7.605046591487926e-05
7.3500000000000005,1.0001626786992681,5.635368439329168e-05
7.45,1.0000217660914443,4.4330553940891194e-05
7.550000000000001,1.0001572818323385,8.184834989781521e-05
7.65,1.000102612772585,5.129104041922671e-05
7.75,1.0000125090286294,7.143135941867415e-05
7.8500000000000005,1.0000357775108126,5.063883633070435e-05
7.95,1.0000628758947259,4.492866037758829e-05
8.05,1.000021555345913,5.525329148271612e-05
8.15,0.9999609211172743,7.624436660430895e-05
8.25,1.000020908065268,4.297891126626994e-05
8.350000000000001,0.9999448674354376,5.7249176193102955e-05
8.45,1.0000209248616503,6.632135108305761e-05
8.55,0.9999183089017135,5.193610477749041e-05
8.65,0.9999340844871654,5.069238397885764e-05
8.75,1.0000118363636363,3.647717008318992e-05
8.850000000000001,0.9999513027128586,3.7355543091704065e-05
8.95,0.9998577118550557,5.075050801028825e-05
9.05,0.9999597555701201,5.19832782320501e-05
9.15,0.9999251642072998,5.051659630821968e-05
9.25,0.9999009339259963,3.989909598744538e-05
9.350000000000001,0.9999811304674509,6.507441783634829e-05
9.45,1.0000590223605446,3.71057214489151e-05
9.55,0.9999796168449173,4.732559670718195e-05
9.650000000000002,0.9999445387639992,5.054944608813514e-05
9.75,0.9999208780393601,2.813414144048581e-05
9.850000000000001,0.9999357930886086,6.488508222634249e-05
9.95,0.9999566873631064,4.502444358172191e-05
