r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.2827161278760261,0.0034616011489075975,-0.557912945377786,0.005041761128766962,0.2751968175017598,0.006460112359415691,0.557912945377786,0.005041761128766962
0.015,-0.2605695676849923,0.004188773190628944,-0.5417918486681089,0.0034748822035472267,0.2812222809831167,0.0032441604562213383,0.5417918486681089,0.0034748822035472267
0.02,-0.2376293695115994,0.0021038163371594146,-0.513243699705015,0.004223533564003331,0.2756143301934156,0.0032559237347426803,0.513243699705015,0.004223533564003331
0.05,-0.17270914727837605,0.0008566842004979187,-0.4528067864143668,0.0013869167536414686,0.2800976391359908,0.001172669224810944,0.4528067864143668,0.0013869167536414686
0.08,-0.13882169102502812,0.0004514316457489669,-0.42448597308634267,0.000695132060960971,0.2856642820613146,0.0010111775441570708,0.42448597308634267,0.000695132060960971
0.1,-0.12359400879033156,0.00039141897059192675,-0.4142873079158741,0.0006378948598954398,0.2906932991255424,0.0008153621747005424,0.4142873079158741,0.0006378948598954398
0.15,-0.09730446729773197,0.00036802585504872666,-0.3983084204857902,0.0004297697486058017,0.3010039531880582,0.0005161663436528341,0.3983084204857902,0.0004297697486058017
0.2,-0.08050440887936972,0.00030510002736728166,-0.39226114441791454,0.0004434349804813226,0.31175673553854477,0.00043660431145021,0.39226114441791454,0.0004434349804813226
0.3,-0.057768617994917205,0.0002822286388907759,-0.3898636930845553,0.00026017595803201767,0.33209507508963815,0.00046769180937326763,0.3898636930845553,0.00026017595803201767
0.4,-0.043151558650851365,0.00013405690946056485,-0.3977096750233123,0.00017590010102345134,0.354558116372461,0.00018257919830170369,0.3977096750233123,0.00017590010102345134
0.8,-0.013271298441694803,7.273352607560033e-05,-0.43143838332918233,4.137038149492462e-05,0.4181670848874875,9.138763009217834e-05,0.43143838332918233,4.137038149492462e-05
