r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.7765441144187812,0.001782702275633135,-2.2442245427727876,0.004098493812292085,1.4676804283540061,0.0034340893077620446,2.2442245427727876,0.004098493812292085
0.015,-0.6226324548738732,0.0019236806352785998,-2.0350838820991055,0.0021145929891978176,1.4124514272252322,0.003200831672380729,2.0350838820991055,0.0021145929891978176
0.02,-0.530629169562226,0.0016343854527407261,-1.8916828094729117,0.0019382505143584082,1.3610536399106856,0.002314048376672223,1.8916828094729117,0.0019382505143584082
0.05,-0.25918859240482855,0.0009399856479705278,-1.4580933589756524,0.0013148799780595894,1.1989047665708241,0.0018710622280238968,1.4580933589756524,0.0013148799780595894
0.08,-0.15156937267768583,0.0003566945673377447,-1.2634500828708366,0.0008138493538510974,1.1118807101931505,0.0010474724532569227,1.2634500828708366,0.0008138493538510974
0.1,-0.10706381243314708,0.0005817795328109872,-1.180413165031858,0.00035394525897280125,1.0733493525987108,0.0006481186452285847,1.180413165031858,0.00035394525897280125
0.15,-0.04096879501841269,0.0003172593028744281,-1.0497902323898403,0.00031432747462558383,1.0088214373714277,0.00044143260318541217,1.0497902323898403,0.00031432747462558383
0.2,-0.0031872524819495387,0.0002473143896983833,-0.972753347155702,0.000253088332392137,0.9695660946737524,0.00035286931991903745,0.972753347155702,0.000253088332392137
0.3,0.0392701849720838,0.00010263490503287028,-0.8875958735453262,0.0001589753221838516,0.92686605851741,0.00020783560079649702,0.92686605851741,0.00020783560079649702
0.4,0.06224553206684337,0.00014316739404361347,-0.8435897447615226,0.00014296948446089545,0.9058352768283658,0.00017771013321100305,0.9058352768283658,0.00017771013321100305
0.8,0.10159647506840797,9.018819090945244e-05,-0.7837201482289459,7.214479464876327e-05,0.8853166232973537,0.00011577877375604754,0.8853166232973537,0.00011577877375604754
