r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.6627095583640114,0.01680659437413839,-2.7458996323401053,0.009505904791063438,2.083190073976094,0.01974947316325619,2.7458996323401053,0.009505904791063438
0.015,-0.5199274371321965,0.006631654202001573,-2.529157137711253,0.008945964953795085,2.009229700579057,0.012941816625435887,2.529157137711253,0.008945964953795085
0.02,-0.4159448044598372,0.006380418379482818,-2.3677589543588002,0.005567514574871729,1.9518141498989627,0.008747104383139692,2.3677589543588002,0.005567514574871729
0.05,-0.15870853623163872,0.003006853602504555,-1.9043258586971183,0.0035353257453428176,1.7456173224654794,0.006340068091702054,1.9043258586971183,0.0035353257453428176
0.08,-0.061257288211009196,0.0038354138654165385,-1.6869643289910439,0.006802159050740635,1.6257070407800345,0.0054550618468383995,1.6869643289910439,0.006802159050740635
0.1,-0.0230281235076637,0.001995876690374514,-1.5968842822998914,0.0016742868383067258,1.5738561587922277,0.0028027579822585734,1.5968842822998914,0.0016742868383067258
0.15,0.037419454960283545,0.0018049538415885857,-1.444648658342023,0.001173665084663362,1.4820681133023066,0.0016485061038066548,1.4820681133023066,0.0016485061038066548
0.2,0.06674156999604902,0.0012144595980553088,-1.3510973234522585,0.0012603816870255474,1.4178388934483077,0.002016605361603452,1.4178388934483077,0.002016605361603452
0.3,0.10408141515216629,0.0009445970809254663,-1.235853935407219,0.0009933569424178353,1.3399353505593856,0.001385485687523109,1.3399353505593856,0.001385485687523109
0.4,0.12207147105306893,0.0006037774725171781,-1.1690007964441365,0.0006188038930206415,1.2910722674972053,0.0009427780368319199,1.2910722674972053,0.0009427780368319199
0.8,0.15461138483998454,0.000541359113531402,-1.054177116336827,0.00030800857658374323,1.2087885011768116,0.0007786532845238439,1.2087885011768116,0.0007786532845238439
