r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,0.04586350683459868,0.019977078993057888,-1.415095813158742,0.016708929992378774,1.460959319993341,0.028205812078190454,1.4657868599342136,0.026252633559163883
0.015,0.05638064703800868,0.013218370777577418,-1.3660624903140512,0.00934833180993568,1.4224431373520603,0.01802867715285809,1.425380306618397,0.015893725038951794
0.02,0.07456139016357306,0.009042551076668712,-1.3214231452851402,0.007506919443472334,1.3959845354487133,0.012753619418449512,1.3959845354487133,0.012753619418449512
0.05,0.1674552544034732,0.004504089253447787,-1.2201830486239178,0.0037293635375494735,1.3876383030273913,0.006832768874522823,1.3876383030273913,0.006832768874522823
0.08,0.20907813795573044,0.0022452921878521833,-1.165473447115025,0.001599052926990824,1.3745515850707555,0.0022740938790689518,1.3745515850707555,0.0022740938790689518
0.1,0.22654032725963483,0.002283593924698372,-1.1443717667702291,0.0017092797833148225,1.3709120940298642,0.0031774438272925034,1.3709120940298642,0.0031774438272925034
0.15,0.25239818631212846,0.0018220694485438158,-1.1058529439443348,0.0012266234470568694,1.3582511302564633,0.0023012619939397775,1.3582511302564633,0.0023012619939397775
0.2,0.26983576674975407,0.0014853913264760838,-1.0783582839034012,0.0009792348002148636,1.3481940506531551,0.0017815201479426364,1.3481940506531551,0.0017815201479426364
0.3,0.2894681203528502,0.0009284932852276385,-1.0510173181599245,0.0005374608867696263,1.340485438512775,0.0011378663299817697,1.340485438512775,0.0011378663299817697
0.4,0.30119492728339947,0.0006952014746462638,-1.0326588197613549,0.00048062591205580115,1.333853747044754,0.0008540828292251431,1.333853747044754,0.0008540828292251431
0.8,0.32045149362783143,0.0005651201323172046,-1.00208805606925,0.0001661472576911426,1.322539549697081,0.0006356885368432022,1.322539549697081,0.0006356885368432022
