A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
29.377054743870822,1.2953655210052943,0.0,0.0,0.0,0.0,0.6184139861651622,0.007706778763369486,0.01048787659967557,0.7348273685454962
30.71969554350296,0.9739241812483054,0.0,0.0,0.0,0.0,0.5516815408119106,0.004204002832292016,0.00697431998035544,0.6027831880575348
15.580981918756766,1.124881265935994,0.0,0.0,0.0,0.0,0.6262201071087642,0.013026602842279035,0.02483878056265565,0.5244461502214056
2.9537251936174953,0.27023566981649305,6.6171251018338255,0.06669806113158705,-1.918938434048089,0.4000323486240327,1.106837658641865,0.04571187231854234,0.1341869737731852,0.3406580462557314
2.518481874365643,0.16056221369407528,6.476027073956196,0.05601253205787668,8.777371483920403,0.16727653630111408,1.1630063636811645,0.02687008416195099,0.09727944710617686,0.27621542845143127
2.768598721812914,0.11495256706130039,6.432425668423048,0.022150616493442018,2.1556479950776626,0.5154398132310256,1.1196252425634121,0.01676085996911497,0.06675499542061085,0.2510802354716362
2.4703323358980036,0.11253035528339536,6.2959629933684855,0.019741317303204834,5.988054388692944,0.0563259712717384,1.1772942416718044,0.017786595335017738,0.083504947186549,0.21300049798585835
2.27906443089652,0.06746672172860559,6.205232761339362,0.020967959838887495,9.655934104370061,0.06199971331233287,1.2098951648982808,0.0168063333188884,0.08792872372748319,0.19113587240247157
2.1031132168761677,0.047225686739723056,6.101071559401945,0.02037742085840905,9.581501511521198,0.06089811113916097,1.2494002498750825,0.011518071257699427,0.06920610521973655,0.16643143290795456
1.9839936715114903,0.037264392214892486,6.054665438439052,0.017177622800288415,13.235670987710906,0.053512313596358864,1.2834103290686532,0.009567694677019714,0.0627001821494926,0.15259436813449737
1.6213086248955757,0.015087214821579492,5.988496785377651,0.010790345732082334,16.376010534231405,0.30929231859265177,1.3893862786629578,0.005338589584958594,0.04135131638249973,0.12910325600221847
