cluster_size, probability, probability_err
1.000000000000000000e+00,7.676120383607871744e-01,5.146373261824162271e-04
2.000000000000000000e+00,1.933107709103083771e-01,4.423014069937020111e-04
3.000000000000000000e+00,2.871455251065785363e-02,3.722820187630893193e-04
4.000000000000000000e+00,7.926668963032450221e-03,3.102618081710628302e-04
5.000000000000000000e+00,1.650955360908299948e-03,1.893745911454906784e-04
6.000000000000000000e+00,5.783529231830333503e-04,6.922747492128172397e-05
7.000000000000000000e+00,1.443940389947527666e-04,8.697767221130441940e-05
8.000000000000000000e+00,6.226693212767500337e-05,3.957137305626049563e-05
