cluster_size, probability, probability_err
1.000000000000000000e+00,4.886685383386983328e-01,1.564704503624196478e-03
2.000000000000000000e+00,1.967797760731785639e-01,1.296402761143616118e-03
3.000000000000000000e+00,8.338069289362630421e-02,4.048576127875808269e-04
4.000000000000000000e+00,5.123774407836479555e-02,1.543570642187985862e-04
5.000000000000000000e+00,3.277788851564719663e-02,7.511915107191454799e-04
6.000000000000000000e+00,2.316977689948035088e-02,4.715601512206221702e-04
7.000000000000000000e+00,1.692022032022444736e-02,2.700729804887939413e-04
8.000000000000000000e+00,1.293078637918716051e-02,1.348966092292432160e-04
9.000000000000000000e+00,1.040527491521483355e-02,6.903237894407895513e-05
1.000000000000000000e+01,8.324645405826820374e-03,2.620186306872165200e-04
1.100000000000000000e+01,7.144383965354741267e-03,1.524355538098536619e-04
1.200000000000000000e+01,5.910113026590047697e-03,9.510798847938578288e-05
1.300000000000000000e+01,4.882340915469071847e-03,6.647786417862664213e-05
1.400000000000000000e+01,4.288461558178705869e-03,1.552285577998296126e-04
1.500000000000000000e+01,3.639651993389610846e-03,1.089606706436593674e-04
1.600000000000000000e+01,3.280265331673905879e-03,5.275488928701112593e-05
1.700000000000000000e+01,2.832502831326817044e-03,5.424915234117931221e-05
1.800000000000000000e+01,2.580632743477060970e-03,8.047190650628595235e-05
1.900000000000000000e+01,2.039736406077769394e-03,6.019068558360632257e-05
2.000000000000000000e+01,1.980727603451594519e-03,1.348951508347966133e-04
2.100000000000000000e+01,1.773440725094363934e-03,4.380557306646859879e-05
2.200000000000000000e+01,1.655470933168280527e-03,3.083165895824008929e-05
2.300000000000000000e+01,1.397803202625666659e-03,7.227260473194187880e-05
2.400000000000000000e+01,1.414758701060455466e-03,1.051983423167365123e-04
2.500000000000000000e+01,1.177889466026172186e-03,4.990150152415893546e-05
2.600000000000000000e+01,1.103711108994302791e-03,4.459631700080950438e-05
2.700000000000000000e+01,1.012211408511861114e-03,7.801497465501885855e-05
2.800000000000000000e+01,1.006536918639211074e-03,3.687308479317373706e-06
2.900000000000000000e+01,9.104758386583835161e-04,1.068864511455410735e-05
3.000000000000000000e+01,8.902117712414527734e-04,2.311754684478479577e-05
3.100000000000000000e+01,7.466522804600306262e-04,2.769687361005330683e-05
3.200000000000000000e+01,8.207344289880890223e-04,4.729916447561483857e-05
3.300000000000000000e+01,6.829299949545722696e-04,6.035255578139665458e-05
3.400000000000000000e+01,7.077339600767944272e-04,5.466080643848500941e-05
3.500000000000000000e+01,6.161807285747167512e-04,5.932451301265715218e-05
3.600000000000000000e+01,6.557187824798249793e-04,6.425340772547927031e-05
3.700000000000000000e+01,5.821366001663861233e-04,2.038120095727820604e-05
3.800000000000000000e+01,4.692977106270222634e-04,1.391525571612413635e-05
3.900000000000000000e+01,4.676513626516000735e-04,5.280775822857282126e-05
4.000000000000000000e+01,4.912647969956804349e-04,1.542664669912828391e-05
4.100000000000000000e+01,4.430516480699695121e-04,3.724748492554259642e-05
4.200000000000000000e+01,4.585624997797777620e-04,2.476642900017722292e-05
4.300000000000000000e+01,3.955606715845638808e-04,1.984673674784793638e-05
4.400000000000000000e+01,4.524643326963527501e-04,5.161716411758604132e-05
4.500000000000000000e+01,3.312006514598777695e-04,3.155520495802368924e-05
4.600000000000000000e+01,3.497794994149249826e-04,5.950242522449033101e-05
4.700000000000000000e+01,2.962206900612805575e-04,2.495444125490671006e-05
4.800000000000000000e+01,3.454752261612815782e-04,3.486805372319674108e-05
4.900000000000000000e+01,3.254146589711749888e-04,3.195948920455812586e-05
5.000000000000000000e+01,3.057248364319888859e-04,5.485224234030707869e-05
5.100000000000000000e+01,2.523657238214583372e-04,4.013553894955143142e-05
5.200000000000000000e+01,2.674136801051166831e-04,1.896273016802947240e-05
5.300000000000000000e+01,2.360587720160478055e-04,1.248425021429480736e-05
5.400000000000000000e+01,3.062828542745111085e-04,4.832938380875619782e-05
5.500000000000000000e+01,2.322988356927712273e-04,4.227199236628497402e-05
5.600000000000000000e+01,2.334048134454083255e-04,2.284514874195433647e-05
5.700000000000000000e+01,2.098247984352645751e-04,2.987492760253758641e-05
5.800000000000000000e+01,2.262755001778911682e-04,3.336107919867042991e-05
5.900000000000000000e+01,1.948020267427638967e-04,2.068161839381531540e-05
6.000000000000000000e+01,1.956784079239417965e-04,2.044547429303301817e-05
6.100000000000000000e+01,1.829587253122027873e-04,2.023376094177132579e-05
6.200000000000000000e+01,2.042891930453051596e-04,4.163990492588480810e-05
6.300000000000000000e+01,1.499944815461367882e-04,2.336685007501128767e-05
6.400000000000000000e+01,1.741644197190813303e-04,8.867952888081174386e-06
6.500000000000000000e+01,1.547577999661409599e-04,2.966991285245885207e-05
6.600000000000000000e+01,1.689482832427906950e-04,2.563780816786153592e-05
6.700000000000000000e+01,1.433231509128432264e-04,2.669174975556217231e-05
6.800000000000000000e+01,1.504079201156885545e-04,2.712829212818302453e-05
6.900000000000000000e+01,1.351095518327289095e-04,1.254716245231351873e-05
7.000000000000000000e+01,1.804770239841143231e-04,3.719589374946644919e-05
7.100000000000000000e+01,1.440331857846807251e-04,2.343009529419651886e-06
7.200000000000000000e+01,1.453666022852208458e-04,2.558224852560908889e-05
7.300000000000000000e+01,1.395030773156850457e-04,2.063389359793747435e-05
7.400000000000000000e+01,1.086010931613224734e-04,3.392128330634674836e-05
7.500000000000000000e+01,1.317289725841035413e-04,9.937118589358393718e-06
7.600000000000000000e+01,1.070827602441418256e-04,6.830711227887703078e-06
7.700000000000000000e+01,1.112556089988908040e-04,1.874630901559712749e-05
7.800000000000000000e+01,1.212117070717699921e-04,1.558469831295454500e-05
7.900000000000000000e+01,1.313298259519569641e-04,1.941757922306524349e-05
8.000000000000000000e+01,1.054115005077250659e-04,1.210568855941291383e-05
8.100000000000000000e+01,1.102421124998895913e-04,2.129782254392387892e-05
8.200000000000000000e+01,1.340194333296795175e-04,1.399796609254225343e-05
8.300000000000000000e+01,8.770858053863499464e-05,1.139529279178091925e-05
8.400000000000000000e+01,8.211704776949625792e-05,9.514661730708120837e-06
8.500000000000000000e+01,7.013515736555750695e-05,1.152013456467900665e-05
8.600000000000000000e+01,8.957478384905974986e-05,1.270599312788006483e-05
8.700000000000000000e+01,8.929729575739211046e-05,4.270510279455602145e-05
8.800000000000000000e+01,8.684623728055249428e-05,2.354694336072620325e-05
8.900000000000000000e+01,6.861558233901521818e-05,1.231965327006695972e-05
9.000000000000000000e+01,9.095650824422097530e-05,1.351303825134156857e-05
9.100000000000000000e+01,7.614059473596446897e-05,1.300050236581235656e-05
9.200000000000000000e+01,7.830928799804754131e-05,1.686716666716600273e-05
9.300000000000000000e+01,8.366262834244938716e-05,1.910936143277549955e-05
9.400000000000000000e+01,7.610623690927192367e-05,6.518437817080689620e-06
9.500000000000000000e+01,6.390564613282315447e-05,7.960139177934093905e-06
9.600000000000000000e+01,7.184998912528446852e-05,1.970835085852997188e-05
9.700000000000000000e+01,6.468451337872485911e-05,8.942785034314714967e-06
9.800000000000000000e+01,8.687605050862832600e-05,1.105493017383860317e-05
9.900000000000000000e+01,7.015752894480048886e-05,1.072261806584185190e-05
1.000000000000000000e+02,9.705377879419268964e-05,1.205421823767389233e-05
1.010000000000000000e+02,7.396919859197490562e-05,1.862458233445124243e-05
1.020000000000000000e+02,7.539190230960849705e-05,2.666327368479511236e-06
1.030000000000000000e+02,6.954851900189562444e-05,1.415943309229848053e-05
1.040000000000000000e+02,3.692700812954554680e-05,3.188750997060517413e-06
1.050000000000000000e+02,5.775821145444193331e-05,1.566102503738483559e-05
1.060000000000000000e+02,4.702957136209162480e-05,8.816716054090682300e-06
1.070000000000000000e+02,3.539663541960498555e-05,9.082450869119192193e-06
1.080000000000000000e+02,6.947065267112964983e-05,9.523641281531717204e-06
1.090000000000000000e+02,6.895722538523915582e-05,2.301038432417270096e-05
1.100000000000000000e+02,4.932296655841061981e-05,1.725361852000732908e-05
1.110000000000000000e+02,6.310248512500115823e-05,1.273201744157538300e-05
1.120000000000000000e+02,4.741816257654157682e-05,8.770349152825462528e-06
1.130000000000000000e+02,7.007386490419171470e-05,2.414609816448603306e-05
1.140000000000000000e+02,5.169124995171996308e-05,6.159182087910547044e-06
1.150000000000000000e+02,5.560641286310935094e-05,4.837485744557090831e-06
1.160000000000000000e+02,7.623179910293656806e-05,9.120434535520188744e-06
1.170000000000000000e+02,3.870297544067909269e-05,5.354315882536434795e-06
1.180000000000000000e+02,4.938989493970135676e-05,6.055090642020577387e-06
1.190000000000000000e+02,3.770277001855569889e-05,8.393060310786124047e-06
1.200000000000000000e+02,4.682768470523100078e-05,4.332776107114051382e-06
1.210000000000000000e+02,3.475827302286515471e-05,3.323658875756473736e-06
1.220000000000000000e+02,4.045862514304570534e-05,1.171327794152338131e-05
1.230000000000000000e+02,4.790120407657466411e-05,1.850046326458490239e-05
1.240000000000000000e+02,5.512828183986809213e-05,1.270629127909826347e-05
1.250000000000000000e+02,3.206075143507502664e-05,1.051531902611900233e-05
1.260000000000000000e+02,4.542666992595024647e-05,6.954281959822629026e-06
1.270000000000000000e+02,5.063974015668185584e-05,5.712979061962314492e-06
1.280000000000000000e+02,4.081528959308245293e-05,1.369303955133103066e-05
1.290000000000000000e+02,4.026273750207384414e-05,1.167860754492606592e-05
1.300000000000000000e+02,5.121962953686548005e-05,9.315104850360166446e-06
1.310000000000000000e+02,5.244612280464223410e-05,3.083166201233941688e-06
1.320000000000000000e+02,2.601149354013389365e-05,9.791251870922256108e-06
1.330000000000000000e+02,1.572399696049209535e-05,4.089362557244744019e-06
1.340000000000000000e+02,3.952426338271019634e-05,1.055950859756383598e-05
1.350000000000000000e+02,3.776310524336068169e-05,4.799339065898356034e-06
1.360000000000000000e+02,1.844217829947880269e-05,1.154143534186282114e-05
1.370000000000000000e+02,2.433611593685456055e-05,1.281239500735246198e-05
1.380000000000000000e+02,2.317090076953109482e-05,3.306719753978887188e-06
1.390000000000000000e+02,2.723534635468431893e-05,2.915832976230455510e-06
1.400000000000000000e+02,3.563092269570896438e-05,7.919434593845106325e-06
1.410000000000000000e+02,2.053079145858425299e-05,6.135879346908594481e-07
1.420000000000000000e+02,3.110650657716844083e-05,1.085634707900033196e-05
1.430000000000000000e+02,2.376457194416853430e-05,6.896868891524704621e-06
1.440000000000000000e+02,4.487842871347134580e-05,1.819266591150476897e-05
1.450000000000000000e+02,3.061475838237267031e-05,5.313520170758489348e-06
1.460000000000000000e+02,2.070695235273054905e-05,1.611172534649108056e-05
1.470000000000000000e+02,2.349694095096168222e-05,6.199789791629743844e-06
1.480000000000000000e+02,3.098606466075995268e-05,9.297877097086242127e-06
1.490000000000000000e+02,3.233871457993983781e-05,6.490316740445798190e-06
1.500000000000000000e+02,4.037019004170648047e-05,1.070157789777901274e-05
1.510000000000000000e+02,1.181709547752696579e-05,1.525850163415771870e-06
1.520000000000000000e+02,2.674462551643937245e-05,1.062714781947476980e-05
1.530000000000000000e+02,3.220249220856178540e-05,6.524538976414351466e-06
1.540000000000000000e+02,3.028899647152037515e-05,2.584982928254636140e-07
1.550000000000000000e+02,3.017729760007953097e-05,4.566603549887680039e-07
1.560000000000000000e+02,3.159632808019593862e-05,1.087164350851559158e-05
1.570000000000000000e+02,3.490577633568936353e-05,1.048433429361446430e-05
1.580000000000000000e+02,4.184392698540092111e-05,1.733829859894707418e-05
1.590000000000000000e+02,3.062107221304639167e-05,6.042948295058125677e-06
1.600000000000000000e+02,2.965999293533823136e-05,1.191595306278198263e-05
1.610000000000000000e+02,2.086570458772843371e-05,4.142351871259833222e-06
1.620000000000000000e+02,2.108010602475289267e-05,9.028375864665115193e-06
1.630000000000000000e+02,1.829878602518655186e-05,1.528411392625836520e-06
1.640000000000000000e+02,3.292291027155314217e-05,1.509520936993734563e-05
1.650000000000000000e+02,1.984689225481980904e-05,5.741636828874577171e-06
1.660000000000000000e+02,1.502422658995936463e-05,3.343981960399819747e-06
1.670000000000000000e+02,2.476032515772700712e-05,4.696483767495055961e-06
1.680000000000000000e+02,1.008308874607776748e-05,6.178781288533498537e-06
1.690000000000000000e+02,4.522761338433931196e-05,7.230131741434927146e-06
1.700000000000000000e+02,9.844896317003515662e-06,9.844896317003517356e-06
1.710000000000000000e+02,2.028774803062772226e-05,5.287793119510237965e-06
1.720000000000000000e+02,5.936764633750970506e-06,3.132584784645930120e-06
1.730000000000000000e+02,1.465820437650598307e-05,8.555311056019744697e-06
1.740000000000000000e+02,6.436784201406506897e-06,6.436784201406506897e-06
1.750000000000000000e+02,2.658358972353710951e-05,3.200851121653099422e-06
1.760000000000000000e+02,2.185607216895382230e-05,8.339063626847662610e-06
1.770000000000000000e+02,1.498161203925021607e-05,8.562492605264390255e-06
1.780000000000000000e+02,1.258211406482102689e-05,4.228497606757714425e-06
1.790000000000000000e+02,1.691399837388361471e-05,6.679249334949556078e-06
1.800000000000000000e+02,2.317127302952902106e-05,9.461961164322826642e-06
1.810000000000000000e+02,2.009175394645964759e-05,5.735466556641487479e-06
1.820000000000000000e+02,2.104893399870071992e-05,1.190254719183513610e-05
1.830000000000000000e+02,1.466093879216218458e-05,2.964274796945489291e-06
1.840000000000000000e+02,1.517971788749588177e-05,6.792017668935457759e-06
1.850000000000000000e+02,1.970095346300254215e-05,6.000060191442468478e-06
1.860000000000000000e+02,2.002796586647904116e-05,1.152368983929580887e-05
1.870000000000000000e+02,9.258069290752997589e-06,7.031120461306652723e-07
1.880000000000000000e+02,2.156964461662524857e-05,6.026979891979030395e-06
1.890000000000000000e+02,4.121471546219547896e-05,6.982447952320320479e-06
1.900000000000000000e+02,2.020647656648746440e-05,5.837523103441172098e-06
1.910000000000000000e+02,1.906440734585038870e-05,6.867700710774090436e-06
1.920000000000000000e+02,2.157362880341453791e-05,6.037485235119213237e-06
1.930000000000000000e+02,2.234464132942537212e-05,3.605625155841000936e-06
1.940000000000000000e+02,1.857425460529479939e-05,9.046351011688132709e-06
1.950000000000000000e+02,7.941379119526012606e-06,4.080902840745892448e-06
1.960000000000000000e+02,1.705574082015069931e-05,1.238780939952540872e-05
1.970000000000000000e+02,1.169198146804061368e-05,1.696191587492207282e-06
1.980000000000000000e+02,2.348247121522539497e-05,1.217716046092422496e-05
1.990000000000000000e+02,4.702145176570676404e-06,4.702145176570677251e-06
2.000000000000000000e+02,1.108765833896724134e-05,1.716304984656440644e-06
2.010000000000000000e+02,2.465785144865331049e-05,7.920794841671070178e-06
2.020000000000000000e+02,1.330679322673107075e-05,1.330679322673107245e-05
2.030000000000000000e+02,1.556990100999219444e-05,4.074171853614589489e-06
2.040000000000000000e+02,9.706498311732326539e-06,9.706498311732326539e-06
2.050000000000000000e+02,1.947559898278817628e-05,1.087575481839072563e-05
2.060000000000000000e+02,1.746734905893869918e-05,8.957660040851190723e-06
2.070000000000000000e+02,1.814831667961747219e-05,1.998752194248715388e-06
2.080000000000000000e+02,1.744042930990450608e-05,3.802999391073010708e-06
2.090000000000000000e+02,1.490639226820403460e-05,3.014147190260291053e-06
2.100000000000000000e+02,3.103151759092880442e-05,9.776884191278381909e-06
