r*,g_CA_avg,g_CA_err
0.05,0.0,0.0
0.15000000000000002,0.0,0.0
0.25,0.0,0.0
0.35000000000000003,0.0,0.0
0.45,0.0,0.0
0.55,0.0,0.0
0.6500000000000001,0.0,0.0
0.75,0.0,0.0
0.8500000000000001,0.00016321452384185345,1.1829323714605e-05
0.95,0.4512634748121549,0.004506101901345259
1.05,2.9180036433500165,0.02546115240506493
1.1500000000000001,3.3887350361907025,0.025927250725552124
1.25,2.5949295263218275,0.017383788898114993
1.35,1.9820550416690719,0.012954268878036477
1.4500000000000002,1.6309790834245645,0.010135282035667286
1.55,1.4454213533489502,0.00943869950244618
1.6500000000000001,1.3607454754235717,0.00867311940566555
1.75,1.343120494382315,0.00943895913830857
1.85,1.3747421022037947,0.010289086224458574
1.9500000000000002,1.4351430357245778,0.012202302449586647
2.05,1.4979349903056336,0.013531892975662617
2.1500000000000004,1.5210001419082049,0.013981994827354701
2.25,1.4941343714182347,0.013572863420590135
2.3500000000000005,1.442429548542261,0.01260326742407595
2.45,1.3896626263656544,0.011714471809448136
2.55,1.3519890324892272,0.011333854460641137
2.6500000000000004,1.329388719297056,0.011056180693696805
2.75,1.3175713066352404,0.011341397923809551
2.8500000000000005,1.3142575775406369,0.011302942516026324
2.95,1.3134399815642974,0.011650197092664507
3.05,1.3122843209780168,0.011923891120851755
3.1500000000000004,1.3069959354198875,0.011763893582733907
3.25,1.2971862086179786,0.011623123785419555
3.3500000000000005,1.283823910694427,0.011212961265839943
3.45,1.2699259377606493,0.011189497562212007
3.55,1.2581680535562967,0.010813007393123944
3.6500000000000004,1.248138714816391,0.01059270501714648
3.75,1.2403182082072965,0.010422539543703778
3.8500000000000005,1.2332127298542237,0.01042180758628396
3.95,1.227431452987306,0.010259333933398472
4.050000000000001,1.2212578382927968,0.010106819614260758
4.15,1.2149834314961616,0.010006410749524013
4.25,1.2080925734666197,0.009791959820789512
4.35,1.2008111037609706,0.009580242445622267
4.45,1.1932607156407913,0.00939558845137273
4.550000000000001,1.1864287559743698,0.009139083976936427
4.65,1.1797977639726733,0.008944857595116408
4.75,1.1737179157568531,0.008839257441947588
4.8500000000000005,1.1678808170693769,0.00861533527433887
4.95,1.1624670985951593,0.008538886536714986
5.050000000000001,1.156536880319618,0.008311683157400118
5.15,1.151166451326286,0.008095451305778364
5.25,1.1456149883558733,0.007894755505418218
5.3500000000000005,1.1401971734351732,0.007667009214981918
5.45,1.134780128332117,0.007558558858703557
5.550000000000001,1.129311472071032,0.007245928830427388
5.65,1.1240147598592762,0.007036522169572697
5.75,1.1190799419819912,0.0068298665187565225
5.8500000000000005,1.1139277937879075,0.006687641439732285
5.95,1.109481306885868,0.006452518670592515
6.050000000000001,1.1046138217338681,0.006291903047238889
6.15,1.0997937958846744,0.006102392505127249
6.25,1.0954373864468898,0.005847728459232097
6.3500000000000005,1.0909540716855557,0.005585334941007968
6.45,1.0865260089992068,0.005388503029545664
6.550000000000001,1.0820673740787572,0.005250948046689283
6.65,1.0780262616779208,0.005105105472113897
6.75,1.073521305888859,0.004855148101568252
6.8500000000000005,1.0696106315308969,0.00467185667174584
6.95,1.065602515608247,0.004477308770363522
7.050000000000001,1.0614888431930314,0.004235924672909506
7.15,1.0577504996950795,0.004054660842350834
7.25,1.054141293271285,0.003854641045469439
7.3500000000000005,1.0504845751682796,0.0037086237782206688
7.45,1.0467362490140342,0.0035612995049750895
7.550000000000001,1.0431838794648698,0.0033213152046638874
7.65,1.0398225527176632,0.0031639058413082603
7.75,1.0363226702055772,0.00305902293177625
7.8500000000000005,1.033210957789108,0.00286479410101889
7.95,1.0298518441765476,0.002672047932692993
8.05,1.0267735613801021,0.0024895928111931466
8.15,1.0238459406424434,0.0023567754748632565
8.25,1.020652747830078,0.002152145339940074
8.350000000000001,1.0178044472067642,0.001998252727523217
8.45,1.0149983849189304,0.0018565350795946062
8.55,1.0121351051132532,0.0017257242315075975
8.65,1.009561508817115,0.0015990989031744336
8.75,1.0069160541002928,0.001418774574561701
8.850000000000001,1.0042660291817964,0.0012665660688402141
8.95,1.001924392433144,0.0011727351796469664
9.05,0.9994702482134485,0.0009866597121600863
9.15,0.9971974671743744,0.0009538165390028651
9.25,0.9948519633247969,0.0007863179870701176
9.350000000000001,0.9927857095501675,0.0007170497496042722
9.45,0.9906748400277324,0.0006910614967050718
9.55,0.9886508552635866,0.0005894879160089925
9.650000000000002,0.9866721614743501,0.000585315394275275
9.75,0.9847533371247972,0.0005558312629988318
9.850000000000001,0.9830939482932959,0.0005870883918851172
9.95,0.9812707109744199,0.000577368299211452
