r*,g_CA_avg,g_CA_err
0.05,0.0,0.0
0.15000000000000002,0.0,0.0
0.25,0.0,0.0
0.35000000000000003,0.0,0.0
0.45,0.0,0.0
0.55,0.0,0.0
0.6500000000000001,0.0,0.0
0.75,0.0,0.0
0.8500000000000001,0.0005792215902385707,0.00012734659076167157
0.95,0.9559114414462508,0.002705067207114229
1.05,4.888540529204261,0.008066597883207622
1.1500000000000001,4.635521437801311,0.005498837635254749
1.25,3.4721028964215903,0.006029974005896442
1.35,2.728966666048964,0.003819378646232164
1.4500000000000002,2.2578114617106193,0.0030913793602553308
1.55,1.9242898235115795,0.0015454628944280501
1.6500000000000001,1.6835580919366744,0.0035957619749639623
1.75,1.5077954131385602,0.0015859371916317987
1.85,1.382234775962521,0.0025147459897661662
1.9500000000000002,1.2855357081116547,0.0018098749235378232
2.05,1.213876388157551,0.00226569088045118
2.1500000000000004,1.156855818862179,0.0015369773561604379
2.25,1.1186318193219313,0.0009125784212453118
2.3500000000000005,1.0876485562448845,0.0009329507988803223
2.45,1.0641044355457145,0.0012954922343207792
2.55,1.0456538225192002,0.0010174792042824015
2.6500000000000004,1.03117103786171,0.0013615885391660076
2.75,1.0199938278012675,0.001421436104125271
2.8500000000000005,1.0155059228647572,0.0013445158622404734
2.95,1.010527973223929,0.0010729231448018055
3.05,1.007124049176545,0.0013305093403455138
3.1500000000000004,1.0053148821117919,0.001296806854006311
3.25,1.0025911094546422,0.0010628713630899485
3.3500000000000005,1.002523195210651,0.0009057133615679276
3.45,1.001245791210339,0.0012124342704799111
3.55,1.0003696786194252,0.0014975969405511221
3.6500000000000004,0.9992079630905988,0.001051183008138115
3.75,0.9988052696438725,0.0008161990100861323
3.8500000000000005,0.9977012896641796,0.0011914975393395497
3.95,0.997632675131997,0.0009302760404959058
4.050000000000001,0.9969618599282659,0.001003645217692534
4.15,0.9973800761981939,0.0009150042063601178
4.25,0.9966116227988493,0.000784635986598576
4.35,0.9977870757001082,0.0009447066540902155
4.45,0.9974941418107743,0.0005791856502198118
4.550000000000001,0.9975028314370002,0.0006706075622015888
4.65,0.9982998426937577,0.0010061815781446692
4.75,0.9973272704857266,0.0006695708535794509
4.8500000000000005,0.9976142262813124,0.0007388445719495851
4.95,0.9975509563765019,0.0006488667761271683
5.050000000000001,0.9965215599844249,0.0008166419915166904
5.15,0.9963207875425872,0.0008581733168323506
5.25,0.9984058958417632,0.0006120898867526502
5.3500000000000005,0.9967988916709996,0.00042928641856153544
5.45,0.9966604361364706,0.0005512087784010248
5.550000000000001,0.998429876488041,0.0007475084640167543
5.65,0.9969395473671263,0.000724151523752674
5.75,0.9966740933560685,0.000744463676889919
5.8500000000000005,0.9958656456579993,0.0005451137442033272
5.95,0.996827015327659,0.0007673336325066042
6.050000000000001,0.9983226681093008,0.0006021292400919484
6.15,0.9967342240824039,0.0005748105848681213
6.25,0.99667359922517,0.0006160124944556859
6.3500000000000005,0.9971662825997999,0.0007556793684895496
6.45,0.9972545091193575,0.0008333346533751548
6.550000000000001,0.9972504893518686,0.0005306826599630748
6.65,0.9967567975310988,0.0007009653900293448
6.75,0.9973129389683738,0.0005325731504686963
6.8500000000000005,0.9969995619985111,0.0005868978808003846
6.95,0.9968852120582635,0.0006327404691370847
7.050000000000001,0.9974443286034079,0.00043339910413217733
7.15,0.9977886699503891,0.0007252497825059915
7.25,0.9974459798595732,0.0004957918583833481
7.3500000000000005,0.9969923417402728,0.0004457583269895671
7.45,0.9970771835500681,0.000343513182561181
7.550000000000001,0.9968448212374572,0.0004033151049407906
7.65,0.9966851464527814,0.0006597000456952536
7.75,0.9973820678574657,0.0005065213096260064
7.8500000000000005,0.9969772678792171,0.0004423568614497719
7.95,0.9965384452153726,0.0004677931755890792
8.05,0.9967615153886065,0.0004451401237434013
8.15,0.9964748921208171,0.00039992353647226705
8.25,0.9972109007782419,0.000336504648735568
8.350000000000001,0.99755519627352,0.00032857261307991746
8.45,0.9963366835262679,0.00030411444778735843
8.55,0.9972945224469104,0.0003214203463830445
8.65,0.9968714384992861,0.00021925335596869984
8.75,0.996681405304136,0.0003571436148943489
8.850000000000001,0.9967577485743424,0.00030020516414081547
8.95,0.9968930015602714,0.0002674109052415317
9.05,0.9973102620941843,0.00038066641455079077
9.15,0.997099651538846,0.0004563375000839486
9.25,0.9967431202731263,0.0005001354517755464
9.350000000000001,0.9971916862960223,0.0002177848716899931
9.45,0.9968437391815762,0.0002732282462426911
9.55,0.9973646103827362,0.0004930154105794071
9.650000000000002,0.996988641504917,0.00033319163331532015
9.75,0.996813340578775,0.00037862654216523986
9.850000000000001,0.9972405032148381,0.0002755606250982125
9.95,0.9970488923736388,0.00025650009253339664
