A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
2.265454742333199,0.009585268362430432,6.511783649944155,0.0028227054758862015,-1.1982698449605929,0.007735393341469678,1.1579942115927846,0.0019414806528525778,0.0005282250625367511,3.67548
2.257056029957683,0.00999473582885439,6.5076606779819715,0.0017996645498916288,-1.1873922554930012,0.005397413060296139,1.1596731555302449,0.002376454393063228,0.0007880405196436019,3.01565
2.2655942524103265,0.013662647461554652,6.5070572166472616,0.002152379404125922,-1.1873504831865482,0.006907326225820147,1.1576668776979342,0.0029147179106199786,0.0011106564407617893,2.62432
2.27340161856611,0.0071695805039488246,6.509568223916377,0.0021432240081593816,-1.1945824731126884,0.006092092689004087,1.1556148594753142,0.001414878014708372,0.0008289264709343199,1.70688
2.265473800306582,0.009677778298238801,6.5065446498148205,0.0019830619345822314,-1.1838783869611322,0.00588756361600376,1.1575335494036003,0.0020876357375705992,0.001506709011208897,1.38556
2.2628441616110857,0.009725558568818952,6.505933919128256,0.001742051022538262,-1.1809057222380945,0.005673712920967757,1.1572578639788522,0.0020446591842336573,0.0016220373521349072,1.26055
2.2592166598792103,0.011487439890603243,6.503683607839685,0.002820542786092035,-1.1758135706561519,0.0075382002161024616,1.159552344037539,0.0025635429890377985,0.0023931059810662595,1.07122
2.2688707759997575,0.012240535566710958,6.508191770270145,0.0013185603768241729,-1.188376249368811,0.004408575069296131,1.157745913021078,0.002331548369691495,0.00242193498326702,0.96268
2.250603962343906,0.009559145044339953,6.505358716522896,0.002819814604027432,-1.179727906406256,0.007995543000624392,1.161004641286301,0.0020535246651668167,0.002443973942167496,0.84024
2.268915223674894,0.014858216563059568,6.5074760522167,0.002965179321779007,-1.1841904140925472,0.008814912765727328,1.1579438038916112,0.002983105286824846,0.003865327675475337,0.77176
2.270004331987197,0.014209007156660007,6.502938543751036,0.003570513002490795,-1.1689934208980168,0.011186885167191567,1.158085786552789,0.0027073819569325176,0.004128554153030053,0.65577
