r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.17530510205570277,0.013734478847879728,-1.050286628231668,0.023419977551692474,0.8749815261759654,0.018673400480990875,1.050286628231668,0.023419977551692474
0.015,-0.1878632292380388,0.015398209831831872,-1.005906859477122,0.00808392007710624,0.8180436302390831,0.01843172425015498,1.005906859477122,0.00808392007710624
0.02,-0.17048149891823786,0.011169285768840024,-0.9747512157080059,0.012282802463283664,0.8042697167897683,0.019774429096120417,0.9747512157080059,0.012282802463283664
0.05,-0.106784842728911,0.0044576002759001655,-0.890898739145268,0.006040529266044593,0.784113896416357,0.009061980761156994,0.890898739145268,0.006040529266044593
0.08,-0.07466300075304538,0.002101402594262454,-0.8443365338492098,0.0028108986088328618,0.7696735330961645,0.004400137424602955,0.8443365338492098,0.0028108986088328618
0.1,-0.06537014913691068,0.002228396188883215,-0.8147113102932335,0.0025430861882152754,0.749341161156323,0.0035047221945863918,0.8147113102932335,0.0025430861882152754
0.15,-0.03924343065440913,0.001289776580386848,-0.7772282842253835,0.0023377282745978816,0.7379848535709743,0.0025484864873987247,0.7772282842253835,0.0023377282745978816
0.2,-0.02283155792905902,0.0005908923753540447,-0.7555951231000895,0.0007866686972898936,0.7327635651710305,0.0011492056878045895,0.7555951231000895,0.0007866686972898936
0.3,-0.005688422481837423,0.0006626627981127079,-0.7240097328067513,0.0009705861325383127,0.718321310324914,0.0013268868758392295,0.7240097328067513,0.0009705861325383127
0.4,0.00440602259451031,0.0006620324398265746,-0.7036558161429171,0.0004891521793955166,0.7080618387374272,0.0008756846590248216,0.7080618387374272,0.0008756846590248216
0.8,0.025235813960161346,0.00039866878429359976,-0.6700690443536682,0.0003162554523015672,0.6953048583138295,0.0005539722992226073,0.6953048583138295,0.0005539722992226073
