r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,0.3284661571580072,0.01767668777638187,-0.9394138678208446,0.016230688574355303,1.267880024978852,0.02715346532594068,1.267880024978852,0.02715346532594068
0.015,0.2677240045295365,0.016617771396868018,-0.9588478359383281,0.011955260555272986,1.2265718404678647,0.023412659294707712,1.2265718404678647,0.023412659294707712
0.02,0.2693335237952391,0.006880109288963377,-0.951452922455889,0.009939223639510046,1.2207864462511284,0.012416285424163693,1.2207864462511284,0.012416285424163693
0.05,0.2858078053671854,0.005140059234206223,-0.9283419933366511,0.005537426225182245,1.2141497987038368,0.008204492966265367,1.2141497987038368,0.008204492966265367
0.08,0.291379854240189,0.003668739467795862,-0.922086229376076,0.0017783754834741034,1.213466083616265,0.0036484952436054243,1.213466083616265,0.0036484952436054243
0.1,0.29223073388302057,0.001611102743227451,-0.912910942291554,0.0009770191390877927,1.2051416761745746,0.0022212338086077046,1.2051416761745746,0.0022212338086077046
0.15,0.29948314498557993,0.001068890410725668,-0.9004390814357054,0.0012912225943914257,1.199922226421285,0.0019594919803573884,1.199922226421285,0.0019594919803573884
0.2,0.30463465706837983,0.00044626081017535446,-0.9021791143806228,0.0008789167734066699,1.2068137714490026,0.0010687974526156024,1.2068137714490026,0.0010687974526156024
0.3,0.30870189048329677,0.0010508391585411895,-0.8951913730917193,0.0006672067587711429,1.2038932635750164,0.001153018213200031,1.2038932635750164,0.001153018213200031
0.4,0.3107762620269683,0.0009080240591804303,-0.891315260659929,0.0006632519004539139,1.2020915226868971,0.0010948051875439015,1.2020915226868971,0.0010948051875439015
0.8,0.3193226426738854,0.0003503125883165603,-0.8840055591940145,0.00037902262921072255,1.2033282018678997,0.00040056653157324716,1.2033282018678997,0.00040056653157324716
