r_value,Fmax_mean,Fmax_err,Fmin_mean,Fmin_err,ΔF_mean,ΔF_err,ΔF_masked_mean,ΔF_masked_err
0.01,-0.3899913541763905,0.0051980482327214856,-2.7271869342401156,0.001687697078373588,2.3371955800637254,0.005702192120986287,2.7271869342401156,0.001687697078373588
0.015,-0.24034914133904617,0.002507325356414771,-2.5105918124436064,0.0028973149779911813,2.270242671104561,0.0037252505487465255,2.5105918124436064,0.0028973149779911813
0.02,-0.13457202590103862,0.007918692579459905,-2.333363258458845,0.003131430460656489,2.1987912325578067,0.00887514407386766,2.333363258458845,0.003131430460656489
0.05,0.1389370558639112,0.003948578992187088,-1.8940037442312967,0.001900619522986609,2.0329408000952074,0.004309891167011345,2.0329408000952074,0.004309891167011345
0.08,0.2546145301722564,0.003950063550146067,-1.6992136698636486,0.0014080733225811184,1.953828200035905,0.005120265094268984,1.953828200035905,0.005120265094268984
0.1,0.2945856282593091,0.0034589361408149106,-1.6176000529996646,0.0014427765454384834,1.9121856812589737,0.0036488047831617354,1.9121856812589737,0.0036488047831617354
0.15,0.35815065390763706,0.0014566398148926822,-1.487279426910236,0.0013359745260539378,1.8454300808178732,0.0024262005705894003,1.8454300808178732,0.0024262005705894003
0.2,0.39657898065863934,0.0009693870117845722,-1.4098485060205919,0.0005524824170977388,1.8064274866792314,0.0009492360941016979,1.8064274866792314,0.0009492360941016979
0.3,0.4341432699003711,0.0009444754713409789,-1.3225579287411846,0.0004676597675930035,1.7567011986415555,0.0008567197308341762,1.7567011986415555,0.0008567197308341762
0.4,0.4561568859978415,0.0006543855141565452,-1.2732972172568542,0.000414806562571947,1.7294541032546955,0.0007766483676380487,1.7294541032546955,0.0007766483676380487
0.8,0.485081199996735,0.00017527159499908568,-1.1900057920896567,0.0002722506547616974,1.675086992086392,0.00031719263482000174,1.675086992086392,0.00031719263482000174
