A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
0.8837468555626693,0.04877920598598092,0,0,0,0,6.779410707842578,0.7178570579787898,0.14066444027307462,5.10333
0.881073330361356,0.06527364482467574,0,0,0,0,7.367159791464151,1.0806651337527458,0.25808407735673106,4.18726
0.8193697423405549,0.03936522304410067,0,0,0,0,5.8464060063889285,0.5194304759969679,0.1425510799098111,3.64382
0.8751318159456591,0.013948292952916155,0,0,0,0,3.290140484918929,0.0621951885535359,0.02624391366415146,2.36989
0.9004997095605276,0.014588130102261586,0,0,0,0,2.63313441399706,0.04153128843958152,0.021586581930611932,1.92394
0.9311946670204225,0.00822499915893628,0,0,0,0,2.366024148872083,0.01895428457260475,0.010829905822603817,1.75018
0.9648384580195852,0.009746208575352614,0,0,0,0,2.002601522174592,0.01088159730216594,0.007316884394170173,1.48719
1.0019781414648117,0.018337279116263323,0,0,0,0,1.7819604015141757,0.021785003174981582,0.016300161748297095,1.33649
1.030461669732698,0.011991386801648815,0,0,0,0,1.566579239759036,0.009332174846076347,0.00800042422892885,1.16646
1.0984222801320265,0.01346907838071857,0,0,0,0,1.4043322054722467,0.009274857908617441,0.008657249714019304,1.07134
1.2004905023621795,0.013055978241314445,0,0,0,0,1.168545232271053,0.0059535822109009805,0.006540888598126785,0.91021
