r_salt,Dpp,Dpp_err,Dmm,Dmm_err
1.000000000000000021e-02,8.179782627023511610e-02,1.323671985731844896e-03,8.355293015188694494e-02,1.709326164457626064e-03
1.499999999999999944e-02,8.301184404487040036e-02,1.272496699861764809e-03,8.255949696238644442e-02,1.116127901241511719e-03
2.000000000000000042e-02,8.126974856717825157e-02,1.075697519194340323e-03,8.145773511131113032e-02,1.298720034150446312e-03
5.000000000000000278e-02,7.519268499224721070e-02,6.975627755702550319e-04,7.461741861922083219e-02,5.792837046138579185e-04
8.000000000000000167e-02,NaN,NaN,NaN,NaN
1.000000000000000056e-01,NaN,NaN,NaN,NaN
1.499999999999999944e-01,NaN,NaN,NaN,NaN
2.000000000000000111e-01,NaN,NaN,NaN,NaN
2.999999999999999889e-01,NaN,NaN,NaN,NaN
4.000000000000000222e-01,NaN,NaN,NaN,NaN
8.000000000000000444e-01,NaN,NaN,NaN,NaN
