A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
1.6443003529626992,0.10899671007360721,0.0,0.0,0.0,0.0,2.2500353934452306,0.11928351883205039,0.052269877274601736,2.28207
1.6934622117166203,0.13627035823516487,0.0,0.0,0.0,0.0,2.0259985566465963,0.14878337908698847,0.07946429266581663,1.87233
1.4969470055348435,0.053165129396573786,0.0,0.0,0.0,0.0,1.8775488319995854,0.0454627627488157,0.027903248480215862,1.6293
1.6078439656398094,0.03741554434482272,0.0,0.0,0.0,0.0,1.3058017518873206,0.018835107713901053,0.01777987229329405,1.05935
1.8942837902448892,0.043448615737204724,0.0,0.0,0.0,0.0,1.0332888828991682,0.0116347784531508,0.01353353315476422,0.8597
2.196145001741551,0.054925388308711194,0.0,0.0,0.0,0.0,0.9064844316631007,0.00908266794978855,0.01161615033864759,0.7819
2.7254144703255414,0.0756393849123457,0.0,0.0,0.0,0.0,0.7452902848195261,0.006584937365319099,0.009915879661063574,0.66408
3.4419577432393638,0.08967051491211628,0.0,0.0,0.0,0.0,0.641069526132231,0.004571445749008522,0.007663653164252942,0.59651
10.07179010080158,0.1546617959889225,0.0,0.0,0.0,0.0,0.44226099407827757,0.0017591576703462962,0.0033814998564986568,0.52023
20.689844152166593,0.19719563455947567,0.0,0.0,0.0,0.0,0.3604465847677206,0.0007392086559447128,0.00154798369933766,0.47753
0.41297648261190884,0.08009631123558497,3.5826589583968578,0.055582981179463226,-1.8481940842866829,0.13304533194325813,0.8093257233668643,0.035870866117795656,0.08854599026880515,0.40511
