A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
95.31696784536535,29.788487558902318,0,0,0,0,0.577772977470237,0.0660005946094001,0.08981782311679606,0.7348273685454962
39.03718212810162,8.763949359115587,0,0,0,0,0.6513108949088099,0.05238476972447582,0.08690482873831538,0.6027831880575348
15.081869367580747,2.3781237598155247,0,0,0,0,0.8523005056372439,0.05091312941464586,0.09707980389054595,0.5244461502214056
16.808496909356737,0.35336783033869096,0,0,0,0,3.515555375914373,0.18562827593802952,0.5449108805100077,0.3406580462557314
11.605126777070364,0.4192065171425761,0,0,0,0,5.559844675345575,0.37787936939335276,1.3680603270855949,0.27621542845143127
9.104162773834531,0.09135330764368368,0,0,0,0,7.421556901278464,0.5105842389138663,2.0335501038334236,0.2510802354716362
6.369135807290055,0.22211869113422109,0,0,0,0,9.517055972471653,1.2674718387399597,5.9505581006862736,0.21300049798585835
4.592799719812467,0.14501886515967877,0,0,0,0,14.742699303299002,2.6141542314288544,13.67694195009231,0.19113587240247157
2.9322122533785846,0.08328554937192609,0,0,0,0,25616113.040918253,24301553.00953074,146015404.5718683,0.16643143290795456
1.904169008191401,0.06992721345076067,0,0,0,0,105848738.88365617,148988148.6411708,976367283.1611451,0.15259436813449737
1.2523523203947338,0.16316342406717144,0,0,0,0,169377784.33931828,83939363.04218082,650172316.6512426,0.12910325600221847
