A_fit,A_fit_error,omega_fit,omega_fit_error,phi_fit,phi_fit_error,lambda_fit,lambda_fit_error,relative_err (err/l_d),lambda_debye
8.935389057812332,1.809441597083142,0.0,0.0,0.0,0.0,0.8278193726854083,0.04493529647613999,0.044053348440363904,1.02002
4.338576835032214,0.4824226059031325,0.0,0.0,0.0,0.0,0.8939570776564961,0.03470183755059713,0.04147960500908096,0.8366
2.623992651884244,0.20553187205501172,0.0,0.0,0.0,0.0,0.9814253440334133,0.02805504314927389,0.03855038563967556,0.72775
4.498759256574354,0.5886651093907901,0.0,0.0,0.0,0.0,0.642557196936479,0.018786434750581,0.03986173004006239,0.47129
97251.73607406403,90957.49818150328,0.0,0.0,0.0,0.0,0.6499106708659401,0.17488191567982495,0.4572434849264647,0.38247
1.812650110677771,0.30485295059657286,0.0,0.0,0.0,0.0,0.7239806872884953,0.029552875744464684,0.08506382978661184,0.34742
1.3119433778420233,0.18579594885144876,0.0,0.0,0.0,0.0,0.7218124247208816,0.029862985639953654,0.10148158371547782,0.29427
0.9268558893861147,0.0658621705729131,0.0,0.0,0.0,0.0,0.7422608825576564,0.01867325237729662,0.07081248531398035,0.2637
2.850740611602298,0.5291192410036505,6.940267213704239,0.7493050565803222,-12.515465137423607,1.5771405761097226,0.6545880083156278,0.04214099762141334,0.18332534746340687,0.22987
2.485883119454717,0.33121886845097936,6.977183679843792,0.09403726116095686,6.143528815894507,0.19706832715349976,0.6440539502491092,0.02762739842472455,0.13178495718719974,0.20964
4.073739792580182,0.07005139420922267,6.222500512960542,0.03867300129785906,1.3569430610622137,0.07997158737608225,0.5317191494582151,0.002390499649163437,0.01354237281420483,0.17652
