r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,1.805924307002248965e-04,1.845893238663087686e-05
9.499999999999999556e-01,3.882593191133370536e-01,4.419296831306646967e-04
1.050000000000000044e+00,2.092276675723077073e+00,1.668295399114605492e-03
1.150000000000000133e+00,2.041031958132557111e+00,1.126615787201350844e-03
1.250000000000000000e+00,1.354313891942649173e+00,9.746225048843226843e-04
1.350000000000000089e+00,9.448286348916543620e-01,6.971146966520240257e-04
1.450000000000000178e+00,7.520083739292602321e-01,5.427203652052489712e-04
1.550000000000000044e+00,6.879484021608632816e-01,4.113179251432540705e-04
1.650000000000000133e+00,7.082376191207082616e-01,4.076228307387309607e-04
1.750000000000000000e+00,8.029984252372965869e-01,4.826576201318542305e-04
1.850000000000000089e+00,9.471539879036635634e-01,5.739686121966261880e-04
1.950000000000000178e+00,1.091239472412763423e+00,5.907327362455445192e-04
2.049999999999999822e+00,1.186347669593835308e+00,4.415093011949320907e-04
2.150000000000000355e+00,1.177722129763174808e+00,4.529544629288166321e-04
2.250000000000000000e+00,1.088901824421770748e+00,4.944798167717242903e-04
2.350000000000000533e+00,9.910915870941267025e-01,2.722703520398579518e-04
2.450000000000000178e+00,9.233856541546691110e-01,2.271165806361680238e-04
2.549999999999999822e+00,9.017604937410672594e-01,3.679884048753991315e-04
2.650000000000000355e+00,9.195229292172580893e-01,4.166512803147278429e-04
2.750000000000000000e+00,9.617036913727959879e-01,2.985683400957947660e-04
2.850000000000000533e+00,1.009349506647013062e+00,3.597851748575882596e-04
2.950000000000000178e+00,1.044956727712520461e+00,4.132296912277353524e-04
3.049999999999999822e+00,1.054973633789459742e+00,3.357141524245013295e-04
3.150000000000000355e+00,1.042180299226311391e+00,4.038099032060629289e-04
3.250000000000000000e+00,1.016942793278062807e+00,3.247539882253047011e-04
3.350000000000000533e+00,9.906273173460846682e-01,2.535854180015954871e-04
3.450000000000000178e+00,9.727400901198036687e-01,1.712062047871759597e-04
3.549999999999999822e+00,9.694923544211582200e-01,1.769578300245491667e-04
3.650000000000000355e+00,9.782170946045948279e-01,2.100146864873647147e-04
3.750000000000000000e+00,9.940600230332223841e-01,2.614859818015954755e-04
3.850000000000000533e+00,1.008017246917894960e+00,1.773107336566639254e-04
3.950000000000000178e+00,1.017091309106250785e+00,1.913359387629001219e-04
4.050000000000000711e+00,1.017771783035191557e+00,2.126804027083369498e-04
4.150000000000000355e+00,1.011346374667450920e+00,2.092471950334389948e-04
4.250000000000000000e+00,1.002061099703824398e+00,2.159394038738793071e-04
4.349999999999999645e+00,9.945224325500395812e-01,1.523224179631660943e-04
4.450000000000000178e+00,9.901404957735138179e-01,1.345976910718562063e-04
4.550000000000000711e+00,9.905764505358358729e-01,1.577612698100797648e-04
4.650000000000000355e+00,9.945402836690775406e-01,2.004922340345605342e-04
4.750000000000000000e+00,1.000007040216497556e+00,1.898216191939668086e-04
4.850000000000000533e+00,1.004464743501775725e+00,1.535618086301877416e-04
4.950000000000000178e+00,1.006231483558138962e+00,2.241746552512802898e-04
5.050000000000000711e+00,1.005835459418542577e+00,1.374237522543519789e-04
5.150000000000000355e+00,1.002883354385526005e+00,1.603080553607182720e-04
5.250000000000000000e+00,1.000213429067322801e+00,1.817180639661129349e-04
5.350000000000000533e+00,9.974075638850360415e-01,1.200725969221574262e-04
5.450000000000000178e+00,9.963039924894674382e-01,1.961465717444842648e-04
5.550000000000000711e+00,9.973922172793310281e-01,2.015640891001818191e-04
5.650000000000000355e+00,9.988021553796879726e-01,1.269403763522908312e-04
5.750000000000000000e+00,1.000610824817582900e+00,1.777086908886012391e-04
5.850000000000000533e+00,1.002333790441282790e+00,1.861535471347316908e-04
5.950000000000000178e+00,1.002552685054923121e+00,9.981640941369333082e-05
6.050000000000000711e+00,1.001637365177571848e+00,1.169116516642142010e-04
6.150000000000000355e+00,1.001111560245731225e+00,1.967739247015581308e-04
6.250000000000000000e+00,9.996780385197496788e-01,1.252797310310702094e-04
6.350000000000000533e+00,9.989185273701176593e-01,1.949647891041659067e-04
6.450000000000000178e+00,9.990798911867766474e-01,1.287793295979919198e-04
6.550000000000000711e+00,9.994315253427640267e-01,1.775076326949977723e-04
6.650000000000000355e+00,1.000058341899585646e+00,1.355851317502034632e-04
6.750000000000000000e+00,1.000665257992121804e+00,1.169266183054231762e-04
6.850000000000000533e+00,1.000797173273813900e+00,1.320732677902369736e-04
6.950000000000000178e+00,1.000882539104500424e+00,1.135706631205233886e-04
7.050000000000000711e+00,1.000553683842625885e+00,1.536267575972051806e-04
7.150000000000000355e+00,1.000267246607451144e+00,2.058672688531489579e-04
7.250000000000000000e+00,1.000026594582948292e+00,1.223441690289692673e-04
7.350000000000000533e+00,9.997764032219513819e-01,1.016651808355291105e-04
7.450000000000000178e+00,9.997574069498803562e-01,1.377612880040393975e-04
7.550000000000000711e+00,1.000026227012059454e+00,6.596566518942941350e-05
7.650000000000000355e+00,1.000404879528350222e+00,1.130262734001129043e-04
7.750000000000000000e+00,1.000368058508739111e+00,1.009298648708564864e-04
7.850000000000000533e+00,1.000559608245717103e+00,8.201946926726452086e-05
7.950000000000000178e+00,1.000630725127811704e+00,7.847567710575512826e-05
8.050000000000000711e+00,1.000141061148601462e+00,1.083634341820225079e-04
8.150000000000000355e+00,1.000227042614294515e+00,1.326189602719576367e-04
8.250000000000000000e+00,1.000192753480313890e+00,1.453944942695214407e-04
8.350000000000001421e+00,9.999109603139370028e-01,9.591259805899997326e-05
8.449999999999999289e+00,1.000095953914858393e+00,1.149991158696122461e-04
8.550000000000000711e+00,1.000107153632488588e+00,1.254823113315727749e-04
8.650000000000000355e+00,1.000415143862855460e+00,7.600120791479695779e-05
8.750000000000000000e+00,1.000321548542522532e+00,1.074304403312810604e-04
8.850000000000001421e+00,1.000515294557664747e+00,8.932891104687434381e-05
8.949999999999999289e+00,1.000376580554040107e+00,1.177401544006285343e-04
9.050000000000000711e+00,1.000241497274344749e+00,8.558266411876899260e-05
9.150000000000000355e+00,1.000082231850333070e+00,8.489306519444595367e-05
9.250000000000000000e+00,1.000231247454952177e+00,8.936662973805529272e-05
9.350000000000001421e+00,1.000028338512391812e+00,9.754093271413726647e-05
9.449999999999999289e+00,1.000041506788233114e+00,8.400377616463156451e-05
9.550000000000000711e+00,1.000298866868479575e+00,1.183665914305930558e-04
9.650000000000002132e+00,1.000428812332665895e+00,9.203767521234258080e-05
9.750000000000000000e+00,1.000427402620777562e+00,5.406963664825418928e-05
9.850000000000001421e+00,1.000203528674456610e+00,1.152898463638160273e-04
9.949999999999999289e+00,9.983994396699662488e-01,1.054914748528933854e-04
