r,gSC_mean,gSC_err
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000888e-01,2.005950585676913593e-04,1.175335772734386537e-05
9.499999999999999556e-01,4.011748258349391305e-01,3.713227927834593703e-04
1.050000000000000044e+00,2.150222210053562844e+00,8.321674634740853669e-04
1.150000000000000133e+00,2.078987985131447225e+00,8.163034728815995403e-04
1.250000000000000000e+00,1.370084665491011489e+00,4.893645889368178781e-04
1.350000000000000089e+00,9.501642831276042589e-01,4.448708498628850777e-04
1.450000000000000178e+00,7.544275994690314846e-01,1.862492420849100458e-04
1.550000000000000044e+00,6.883798168987459443e-01,2.859263572729648338e-04
1.650000000000000133e+00,7.100799072847485682e-01,1.610901151170853970e-04
1.750000000000000000e+00,8.068251451956607312e-01,2.373056798166542152e-04
1.850000000000000089e+00,9.530048590048612045e-01,2.549514756675388917e-04
1.950000000000000178e+00,1.098909927770903128e+00,2.344156525550524449e-04
2.049999999999999822e+00,1.192289393332502723e+00,3.158743935730424341e-04
2.150000000000000355e+00,1.180415846446861483e+00,2.152070842583481570e-04
2.250000000000000000e+00,1.087456933330508413e+00,1.858293243001310599e-04
2.350000000000000533e+00,9.871688543671476301e-01,1.694146999708675649e-04
2.450000000000000178e+00,9.199899165972909021e-01,1.356456842083384167e-04
2.549999999999999822e+00,8.989862573741523866e-01,1.906879550803283947e-04
2.650000000000000355e+00,9.183469060473153922e-01,3.031405068352986936e-04
2.750000000000000000e+00,9.642141415872993448e-01,1.345334322099118703e-04
2.850000000000000533e+00,1.013241963677031565e+00,1.928492979370445657e-04
2.950000000000000178e+00,1.047065998128866582e+00,1.749121648908084404e-04
3.049999999999999822e+00,1.056339440689151976e+00,1.902570616132509779e-04
3.150000000000000355e+00,1.042378643106851133e+00,2.284890875593863506e-04
3.250000000000000000e+00,1.015201085602443598e+00,1.844302680075889892e-04
3.350000000000000533e+00,9.881356167967746407e-01,1.238853650555312249e-04
3.450000000000000178e+00,9.703893723760582679e-01,1.156790063279347733e-04
3.549999999999999822e+00,9.681189728417518570e-01,1.871878166940423992e-04
3.650000000000000355e+00,9.782284294946028691e-01,1.678291588693185882e-04
3.750000000000000000e+00,9.951933136178142680e-01,2.098236367405399195e-04
3.850000000000000533e+00,1.010125757291380655e+00,1.618323879860776105e-04
3.950000000000000178e+00,1.018155912512883177e+00,1.462622532432571783e-04
4.050000000000000711e+00,1.018041524973563261e+00,1.276401888714324821e-04
4.150000000000000355e+00,1.011131056667276429e+00,1.261918443225669114e-04
4.250000000000000000e+00,1.001381964087446175e+00,1.102595601297236933e-04
4.349999999999999645e+00,9.929197036802428489e-01,1.152251519900816622e-04
4.450000000000000178e+00,9.888768638446648884e-01,1.242491825245631407e-04
4.550000000000000711e+00,9.899716985158250049e-01,6.681146589018848293e-05
4.650000000000000355e+00,9.949952678864090183e-01,7.341442926005434006e-05
4.750000000000000000e+00,1.000640137668065366e+00,1.025719896769710895e-04
4.850000000000000533e+00,1.005210260372789710e+00,1.355782796958858048e-04
4.950000000000000178e+00,1.006883832308441695e+00,1.071461851279125323e-04
5.050000000000000711e+00,1.005774924582737206e+00,8.233671425950225744e-05
5.150000000000000355e+00,1.002458670903508819e+00,1.483999083808062167e-04
5.250000000000000000e+00,9.990792023401100508e-01,9.686384781919204600e-05
5.350000000000000533e+00,9.965179204330271157e-01,9.383908007177701571e-05
5.450000000000000178e+00,9.959744305863427183e-01,1.190044955697333899e-04
5.550000000000000711e+00,9.970242508940675430e-01,1.146737498630089308e-04
5.650000000000000355e+00,9.990466164095211932e-01,5.853300303114710742e-05
5.750000000000000000e+00,1.001060498131430609e+00,8.121947538164609902e-05
5.850000000000000533e+00,1.002488647354714324e+00,6.868969676511898256e-05
5.950000000000000178e+00,1.002647020091363084e+00,6.036241095360066005e-05
6.050000000000000711e+00,1.001757414741581087e+00,9.542728694069695810e-05
6.150000000000000355e+00,1.000456344247226070e+00,6.321099752917274804e-05
6.250000000000000000e+00,9.992778779880595597e-01,9.348550027438642788e-05
6.350000000000000533e+00,9.986449686504041967e-01,1.618825238228366889e-04
6.450000000000000178e+00,9.987867846665243743e-01,8.422079032166045448e-05
6.550000000000000711e+00,9.992711390320948572e-01,9.813296498217911261e-05
6.650000000000000355e+00,1.000081433068008563e+00,7.994855394711704603e-05
6.750000000000000000e+00,1.000687765880346358e+00,6.180061963105025675e-05
6.850000000000000533e+00,1.001099433969554031e+00,5.489871157475052023e-05
6.950000000000000178e+00,1.001041676917582723e+00,8.533418152667276903e-05
7.050000000000000711e+00,1.000615978743547352e+00,7.371813129582095064e-05
7.150000000000000355e+00,1.000193510064936842e+00,7.177554678494544238e-05
7.250000000000000000e+00,9.995922395859538900e-01,7.267533409494546627e-05
7.350000000000000533e+00,9.994962446682814639e-01,5.925781172835549015e-05
7.450000000000000178e+00,9.996822520853821947e-01,1.071410848341401430e-04
7.550000000000000711e+00,9.998929393592022041e-01,6.720645468734615764e-05
7.650000000000000355e+00,1.000193700856798928e+00,8.421449044596658465e-05
7.750000000000000000e+00,1.000448471207260992e+00,6.076477116123537648e-05
7.850000000000000533e+00,1.000464082278694544e+00,4.723099331559795378e-05
7.950000000000000178e+00,1.000365898386784469e+00,6.508945005296699361e-05
8.050000000000000711e+00,1.000321626427735477e+00,4.399355138383659623e-05
8.150000000000000355e+00,9.999804416381621319e-01,4.908183713314784265e-05
8.250000000000000000e+00,9.999675505126829345e-01,5.977491188064785565e-05
8.350000000000001421e+00,9.998985497762691299e-01,4.190328447522178251e-05
8.449999999999999289e+00,9.999920501630708003e-01,6.686264187492305675e-05
8.550000000000000711e+00,1.000019192530316348e+00,4.769836948893935955e-05
8.650000000000000355e+00,1.000330763282086366e+00,6.001070293466747408e-05
8.750000000000000000e+00,1.000116920730606873e+00,5.880064666679654683e-05
8.850000000000001421e+00,1.000248205894903153e+00,5.579647312989235303e-05
8.949999999999999289e+00,1.000250994517604131e+00,7.658423796975009023e-05
9.050000000000000711e+00,1.000209305197720999e+00,7.293562130472638189e-05
9.150000000000000355e+00,1.000067484865016842e+00,7.095725260760486926e-05
9.250000000000000000e+00,1.000083998662814277e+00,5.057001024690587507e-05
9.350000000000001421e+00,1.000032923878010793e+00,4.710995031711129810e-05
9.449999999999999289e+00,1.000070272594270282e+00,8.170660217762766098e-05
9.550000000000000711e+00,1.000129768987633394e+00,6.719412641233874774e-05
9.650000000000002132e+00,1.000126293313766679e+00,6.501702658358237221e-05
9.750000000000000000e+00,1.000248093239448188e+00,3.792760578633536540e-05
9.850000000000001421e+00,1.000134699444732655e+00,6.033229289664361595e-05
9.949999999999999289e+00,1.000154122177555616e+00,6.171360936316117767e-05
